SigmaE11	SigmaE12	SigmaE21	SigmaE22	SigmaAlpha11	SigmaAlpha12	SigmaAlpha21	SigmaAlpha22	SigmaAlphaBar11	SigmaAlphaBar12	SigmaAlphaBar21	SigmaAlphaBar22	SigmaKappa11	SigmaKappa12	SigmaKappa21	SigmaKappa22	SigmaQ011	SigmaQ012	SigmaQ021	SigmaQ022	Mu	Ttt	Txx	Tyy	Txy	rho	T	S	Omega	EInternal	A0	B	P	muTB	c1
-3537989074164043.0	2026412493575954.0	-115587482530785.34	32729914264201.594	95250424163350.16	-95352674395276.69	3564896353058.08	-3564603493296.3345	-1284371965866.1182	735634662366.7197	-41960932907.24964	11881716829.799063	34578109758.90858	-34615228960.98546	1294139931.2172847	-1294033616.3417926	241.5	-409.0	4.03125	32.734375	1.0	-0.192659681265868	0.09632984063310943	0.0963298406327586	0	0.2888846500813029	9.999999999999258e-05	1.0487181790439921	-0.09632984063333927	0.192659681265868	0.0	0.0	0.1	3.4615892527297643	0.0
1.1419058409956051e-07	2888.846673782586	-2888.846673911758	-2.1394271243480034e-08	9.13346707391774e-11	1.0487183047290014	-1.0487183047425326	-3.5062529479016825e-10	4.1472747099732775e-11	1.0487183046222113	-1.0487183046690862	-7.764818438955743e-12	1.3178584623141195e-07	0.00038070900777019087	-0.0003807090077750737	1.3178568580284282e-07	0.9999999999343394	-1.2278178473934531e-11	-1.8735590856522322e-10	1.0000000000492872	1.0	-0.19265971588184513	0.09632985794039635	0.09632985794144881	0	0.2888846673766849	0.00010000000000000128	1.0487183046165145	-0.0963298233253014	0.19265971588184513	0.0	0.0011982598719829205	0.1	3.4615890454860763	0.0
-5.2861651056446135e-08	1444.423596309532	-1444.4235962367022	5.821505055791931e-09	-1.2250211544258826e-11	0.524359340921043	-0.524359340633557	-2.156267128520947e-10	-1.9201572840127338e-11	0.5243593406652296	-0.5243593406387972	2.1124809098221236e-12	1.317858086546682e-07	0.00019035453809646908	-0.0001903545379920816	1.3178573472222653e-07	1.000000000564891	-7.185008144006133e-10	4.856701707467437e-10	0.9999999992629655	1.0	-0.1926598197292129	0.09632990986416794	0.09632990986504499	0	0.28888471926281556	9.999999999999012e-05	1.0487186813338887	-0.09632977140173604	0.1926598197292129	0.0	0.0023965188830956663	0.1	3.461588423755535	0.0
-4.031170419693808e-08	962.9493524613185	-962.9493524268632	4.105544348931289e-09	2.3464252701688296e-10	0.3495731029879096	-0.34957310334434816	7.635036947057157e-11	-1.4645994526428095e-11	0.34957310306376976	-0.34957310305127565	1.489053249423225e-12	1.3178589821378674e-07	0.00012690306324103533	-0.00012690306337037434	1.3178584070405052e-07	0.9999999996295899	3.035438567167148e-10	-3.362856659805402e-10	1.000000000306493	1.0	-0.1926599928093067	0.09632999640447797	0.09632999640482877	0	0.2888848057395942	0.00010000000000000061	1.0487193091955884	-0.09632968486120705	0.1926599928093067	0.0	0.003594776172472183	0.1	3.4615873875397027	0.0
9.700869441076065e-09	722.2123170173023	-722.2123170285537	-4.75210981676355e-10	2.271873974207676e-11	0.26218004704495934	-0.2621800470407555	1.1330632758968533e-11	3.5271517617091703e-12	0.26218004705023173	-0.26218004705431136	-1.724948359259582e-13	1.317858210942445e-07	9.517733727932197e-05	-9.517733727786268e-05	1.317858169711812e-07	0.9999999996670643	-2.7353053155820817e-10	-2.7625901566352695e-10	0.9999999997346638	1.0	-0.19266023511922106	0.09633011755978595	0.09633011755943512	0	0.2888849268068642	9.999999999999904e-05	1.0487201882006971	-0.09632956370646317	0.19266023511922106	0.0	0.004793030879254668	0.1	3.461585936841186	0.0
-2.6548718778940383e-10	577.7701649289911	-577.7701649255595	6.913580818945775e-10	4.015808310479593e-11	0.2097442636415118	-0.20974426373765803	3.8138273568140895e-11	-9.944136605054228e-14	0.2097442636696534	-0.20974426366840962	2.5076030332725844e-13	1.3178582741026953e-07	7.614191078212987e-05	-7.61419108170416e-05	1.3178582662271725e-07	0.9999999999783333	4.831690603168681e-11	-1.184616849059239e-10	1.0000000000226743	1.0	-0.19266054666123833	0.09633027333018063	0.09633027333105769	0	0.28888508246440997	9.999999999999793e-05	1.0487213183479598	-0.09632940793500644	0.19266054666123833	0.0	0.005991282142597687	0.09999999999999999	3.4615840716636326	0.0
-1.5933395047795784e-08	481.475454517844	-481.47545450465987	2.0540085188258672e-09	-2.3691724618695007e-11	0.1747871165798645	-0.17478711657029913	2.2135813402183932e-11	-5.791264669647736e-12	0.17478711660521817	-0.17478711660044086	7.444396282659659e-13	1.3178580413856246e-07	6.345163404342556e-05	-6.345163403979818e-05	1.3178582077678424e-07	1.0000000007443701	6.964455678826198e-10	7.283915692823939e-10	1.0000000007145315	1.0	-0.19266092743423333	0.09633046371676583	0.0963304637174675	0	0.2888852727119518	0.00010000000000000364	1.0487226996357508	-0.09632921754768206	0.19266092743423333	0.0	0.007189529101672296	0.1	3.461581792011733	0.0
3.6196468045091024e-10	412.69356792816086	-412.69356792581084	1.7041656974470243e-10	-6.6711284818744145e-12	0.1498177617352634	-0.14981776171699887	5.279428447809537e-12	1.302313326954378e-13	0.14981776172345385	-0.1498177617226006	6.234939311905703e-14	1.3178581009028412e-07	5.438715717441534e-05	-5.438715716779756e-05	1.3178581444499741e-07	0.999999999999763	-2.4101609596982598e-11	8.01492205937393e-12	1.0000000000034113	1.0	-0.1926613774375328	0.09633068871902953	0.09633068871850327	0	0.28888549754914816	0.00010000000000000404	1.0487243320620843	-0.09632899254482155	0.1926613774375328	0.0	0.008387770895670174	0.1	3.46157909789122	0.0
6.882402203700622e-09	361.1071962204911	-361.10719622593086	-1.400735527568031e-09	1.1700143536762874e-11	0.1310907769592649	-0.13109077696380128	-2.309649387292208e-11	2.5045740031240103e-12	0.13109077695344912	-0.13109077695541607	-5.076436660689162e-13	1.3178581659910713e-07	4.7588805199893414e-05	-4.7588805201509065e-05	1.3178580397041586e-07	0.9999999999655134	-1.1596057447604835e-11	-1.602984411874786e-11	1.0000000000241616	1.0	-0.19266189667025693	0.0963309483353039	0.09633094833495306	0	0.28888575697559504	0.00010000000000000719	1.0487262156246158	-0.09632873292690058	0.19266189667025693	0.0	0.009586006663807737	0.1	3.4615759893088685	0.0
5.742478492720693e-09	320.98450110439904	-320.9845011062179	-3.5564085010264535e-09	-4.403774296660119e-11	0.1165253721590258	-0.11652537221843386	9.929942452467136e-11	2.0884560977345966e-12	0.11652537225910845	-0.11652537225976126	-1.2879472099534207e-12	1.317857961647026e-07	4.2301203129465885e-05	-4.230120315110634e-05	1.3178584813076107e-07	1.0000000003482765	3.418563210288994e-10	3.34580363414716e-10	1.0000000003353409	1.0	-0.19266248513316192	0.09633124256780888	0.09633124256535307	0	0.28888605099082637	9.99999999999874e-05	1.0487283503206337	-0.0963284386926965	0.19266248513316192	0.0	0.010784235545330262	0.1	3.4615724662724956	0.0
