SigmaE11	SigmaE12	SigmaE21	SigmaE22	SigmaAlpha11	SigmaAlpha12	SigmaAlpha21	SigmaAlpha22	SigmaAlphaBar11	SigmaAlphaBar12	SigmaAlphaBar21	SigmaAlphaBar22	SigmaKappa11	SigmaKappa12	SigmaKappa21	SigmaKappa22	rhoH	S	Ttt	Txx	Tyy	FreeEnergy	InternalEnergy	rho	T	Ax	Ay	Gx	Gy	mu	Q
19119.58979632608	0.19327022104655533	-0.2728033775061108	19264.18441963438	25.035606929929312	0.00025306696598008415	-0.0003577522551995229	25.22499486104561	25.035607077007572	0.0002535442524238925	-0.0003580836090198006	25.224994405141313	0.032829680885519005	3.3203195764852796e-07	-4.6953714406793413e-07	0.033077742881945586	0.00044100497886625687	0.1520407623559522	-0.3856591583400098	0.19282977813762772	0.19282969452806484	-0.19283109822191874	0.3856591583400098	0.5777300527501488	0.005	0.1	0.1	0.3	0.3	1317.0665253167488	759.9088773175333
10043.289153230828	0.0019663627352053356	-0.06281961644097217	10098.956306735457	52.626753295312334	1.0303784145128078e-05	-0.0003294089007119733	52.918185934523834	52.62675314746203	1.0311833643761391e-05	-0.0003295558992559786	52.91818601888947	0.276146299381542	5.4035174305839334e-08	-1.7281379018662038e-06	0.27767205349864366	0.0017645273934929105	0.3046899742274086	-0.3879437733494475	0.19397221334555814	0.19397170749894777	-0.19397089098108883	0.3879437733494475	0.5788677645882623	0.01	0.1	0.1	0.3	0.3	329.91508490877163	189.97721932938333
6062.363702940476	0.00011582055430102173	0.008203475839961012	6091.75824020476	71.45633726090888	1.3553456789012025e-06	9.63794570889334e-05	71.80232797503999	71.45633739690422	1.3657973237175481e-06	9.645766744173166e-05	71.80232807710983	0.843543924750066	1.5987475930233925e-08	1.1340481344293068e-06	0.8476165047530809	0.003971922457577167	0.4585356109074114	-0.39175910685101345	0.1958790722435491	0.19587903313709776	-0.19587811208727307	0.39175910685101345	0.5807591847746754	0.015000000000000001	0.1	0.1	0.3	0.3	147.10800790473036	84.43431970194814
4479.423904600547	-8.679288453087089e-09	-1.095914630745709e-09	4479.423265025644	94.00218621080758	-1.8235815146101738e-10	-2.0178201700334233e-11	94.00217280759006	94.00218635381837	-1.8199835840120213e-10	-2.3002129390102657e-11	94.00217295058287	1.975771487123611	-3.823301830473708e-12	-4.2240447536487834e-13	1.975771206233266	0.007066326895754592	0.6154690646559534	-2.9806528327917077	2.6039801366812347	2.6039778579389106	2.34541183332105	2.9806528327917077	0.6229316181775387	0.02	0.1	0.1	0.3	0.3	83.12406323694964	47.49430483234583
3466.4874056314684	2.965241127964556e-08	-9.770973442347654e-09	3466.4872439770543	113.67780348141	9.50050133897789e-10	-3.371731175416543e-10	113.67779818769334	113.67780366000734	9.725691945402517e-10	-3.2335768220264023e-10	113.67779836629175	3.7339834146430713	3.117592289915082e-11	-1.11500159016957e-11	3.733983241284678	0.011040686055396284	0.7738202405656394	-5.707944253403117	4.388794187844294	4.388793113303668	5.062393135332598	5.707944253403117	0.626205612056378	0.024999999999999994	0.1	0.1	0.3	0.3	53.5070488257657	30.39635509270133
2812.6188855836263	-4.58495185524585e-09	3.1436578726458386e-09	2812.6188417194544	132.83412448756783	-2.1693500782917825e-10	1.5601925513233857e-10	132.83412241902477	132.83412470181602	-2.1678404970294357e-10	1.4897495206089496e-10	132.83412263323578	6.284112948876952	-1.0254065616844801e-11	7.397240716891405e-12	6.284112851324049	0.015897583200775632	0.9351049666061713	-7.117592010884101	5.179054409067946	5.179054500817058	6.459381366147872	7.117592010884101	0.6301574957380441	0.030000000000000002	0.1	0.1	0.3	0.3	37.417137506608974	21.108579925487035
2018.9784958251114	5.158165592735169e-09	-9.454668915831466e-09	2018.978493909402	169.5514291460538	4.183379918666728e-10	-7.854840950963653e-10	169.55142898559092	169.55142943066286	4.342011581159812e-10	-7.957871042011891e-10	169.55142927019935	14.264428863468515	3.522995501182166e-11	-6.612812778573751e-11	14.26442885002706	0.02825764044412835	1.2686247360308547	-8.075131322456391	5.637177931038658	5.637178079097474	7.384282923498198	8.075131322456391	0.6401034095169589	0.04	0.1	0.1	0.3	0.3	21.414158039296566	11.873576208086458
1556.2290992986066	7.77826701832407e-09	8.521851994523159e-09	1556.2291001133922	204.24105924879683	1.0245654446716932e-09	1.1223366730691136e-09	204.2410593557918	204.24105960079405	1.0242748536438205e-09	1.1196894186332923e-09	204.24105970777458	26.85619110119598	1.349214820902882e-10	1.4745909386508677e-10	26.856191115244595	0.04414341443388227	1.620114551553472	-8.353000133862517	5.729736134437409	5.729736134481618	7.619335622908606	8.353000133862517	0.6526587833762378	0.04999999999999999	0.1	0.1	0.3	0.3	14.001275544296817	7.599088773175333
1254.3137408098578	5.284178776455376e-09	-2.9968422617077627e-09	1254.3137412175727	237.0831338477164	1.007571750440486e-09	-5.300137619126983e-10	237.08313392480275	237.08313426180706	1.0000428811330418e-09	-5.713294317901699e-10	237.08313433890225	44.90333032910118	1.907967165317014e-10	-1.0109608870759062e-10	44.90333034367808	0.06355146483831373	1.9932825344997016	-8.53047374971699	5.764139819625985	5.7641397608860085	7.743215728673302	8.53047374971699	0.6676610689737061	0.060000000000000005	0.1	0.1	0.3	0.3	9.968761829202597	5.277144981371759
1043.0090744883203	1.0281067924083898e-10	9.837970336382812e-11	1043.009074606236	268.3611275491918	2.905757666089687e-11	2.425564096337175e-11	268.3611275795704	268.3611280183387	2.6987846343261197e-11	2.5187230853225815e-11	268.3611280487171	69.19733700880049	7.599796670019401e-12	6.212292737549881e-12	69.19733701662722	0.08647828141960345	2.3914300595850406	-8.707419760667753	5.791550150229067	5.7915499676545945	7.855084530166561	8.707419760667753	0.6849351263302377	0.07	0.1	0.1	0.3	0.3	7.531709527761682	3.877086108762925
