SigmaE11	SigmaE12	SigmaE21	SigmaE22	SigmaAlpha11	SigmaAlpha12	SigmaAlpha21	SigmaAlpha22	SigmaAlphaBar11	SigmaAlphaBar12	SigmaAlphaBar21	SigmaAlphaBar22	SigmaKappa11	SigmaKappa12	SigmaKappa21	SigmaKappa22	rhoH	S	Ttt	Txx	Tyy	FreeEnergy	InternalEnergy	rho	T	Ax	Ay	Gx	Gy	mu	Q
-94661504114944.5	-283337199888366.9	464081517422216.0	22897815117379.92	37426550947408.7	-25898016278421.957	-37158615441794.266	23658768650393.316	-1993112741603.4355	-5965708960021.97	9771308771870.354	482117070630.02045	788021870822.6483	-545286774274.08936	-782380446939.0847	498139066018.69464	0.007018385351886031	0.6141754362663051	-0.3971201439247454	0.19856007245089285	0.19856007248904536	-0.19856007261204156	0.3971201439247454	0.5833967078114608	0.02	0.0	0.0	0.09999999999999999	0.09999999999999999	83.12406323694964	47.49430483234583
9317683519315672.0	-7144483238592701.0	-1.0057890506711264e+16	7515175546372419.0	204563693974900.16	-240320118900220.06	-220848869960324.94	257237660807669.0	216294271835487.12	-165847101001960.78	-233476925765981.16	174452096290759.47	4748600351209.19	-5578625311450.632	-5126633182457.238	5971337448596.359	0.007737769850454363	0.645565378167709	-0.39837986855535	0.19918993510626087	0.19918993522785752	-0.19918993505110077	0.39837986855535	0.5840129306649289	0.020999999999999998	0.0	0.0	0.1	0.1	75.47561402729166	43.07873454181028
2233800208836347.8	119374668668704.16	155857985062856.56	-1364479906073931.5	57578099281087.24	4612893011153.883	3583988429854.5034	-35995738394000.72	56909944512989.39	3041277256273.2866	3970753179602.4087	-34762498202204.25	1466902197559.128	117521470483.64868	91308337187.62405	-917054025961.3448	0.008492246275782106	0.6770541954354419	-0.39970247073359505	0.1998512365643407	0.19985123639682778	-0.1998512369483892	0.39970247073359505	0.5846585153824045	0.022	0.0	0.0	0.09999999999999999	0.09999999999999999	68.84615641090156	39.251491596980024
-1834319111833887.0	8032187985841160.0	1352910786672759.5	-8570856013708429.0	-108926081679707.19	232024506870890.47	103187614768272.94	-251130011342563.25	-51077429893194.83	223659839822307.0	37672401389820.53	-238659290164177.56	-3033095094873.265	6460825385694.522	2873304936513.0103	-6992826638328.459	0.009281814627869325	0.7086464070892495	-0.4010881554507	0.20054407790331313	0.20054407780555145	-0.20054407672361496	0.4010881554507	0.5853333648112622	0.023000000000000003	0.0	0.0	0.09999999999999999	0.09999999999999999	63.06238470371083	35.91251783164146
4498379747098503.0	5843639448233946.0	-353389329073417.5	-4968608822516562.0	113661870538578.34	197398976191480.06	8646790122286.534	-165405284592217.94	136388286104776.19	177175786342396.53	-10714561159743.863	-150645361158137.72	3446162527345.2515	5985023398471.198	262165702183.55594	-5014993074507.856	0.010106474906715929	0.7403465067077415	-0.4025371298063799	0.20126856480636646	0.20126856473803678	-0.20126856420699962	0.4025371298063799	0.5860373778523937	0.024	0.0	0.0	0.1	0.1	57.98632888930786	32.98215613357349
2.6832274956661203e+17	-1.0259047459901405e+17	-2.191021313486471e+17	8.46012772754366e+16	9560521637681714.0	-3614645489881820.5	-7818743313695425.0	2972390408844239.0	8827464633449573.0	-3375091332040713.0	-7208171199488454.0	2783270461784599.0	314528554773226.0	-118917070117710.88	-257226344732772.34	97787724869610.44	0.010966227112321973	0.7721589614858861	-0.4040496146923805	0.2020248093981333	0.20202480901877695	-0.20202480887825225	0.4040496146923805	0.5867704495334856	0.024999999999999994	0.0	0.0	0.09999999999999999	0.09999999999999999	53.5070488257657	30.39635509270133
5.441068835769821e+16	2.0757348900561876e+16	-4.859616019542059e+16	-1.9669866709349064e+16	2070099800930226.0	932990798970398.1	-1849388572447493.0	-878595988680222.1	1936107153249235.2	738613182481121.9	-1729207554888209.8	-699917071239215.0	73660803667332.64	33198811011673.883	-65807188850724.945	-31263268851095.004	0.011861071244687433	0.804088211318499	-0.4056258410227329	0.20281292321903985	0.20281292346896998	-0.20281292355555225	0.4056258410227329	0.5875324710840042	0.025999999999999995	0.0	0.0	0.1	0.1	49.53452002466777	28.103138954050788
258119137675250.7	2897400652099129.0	-242481175466436.44	-2866586811532256.5	-22931588827304.434	69941897052189.69	27586387808313.727	-73196807882168.72	9904811325772.59	111182018709200.55	-9304735459283.477	-109999598529952.88	-879954360534.1221	2683881948110.875	1058573063825.7223	-2808782712709.427	0.012791007303812343	0.8361386679104728	-0.4072660475512779	0.20363302574801406	0.2036330258720711	-0.20363302649498444	0.4072660475512779	0.5883233300126796	0.026999999999999996	0.0	0.0	0.09999999999999999	0.09999999999999999	45.99507419851926	26.05997521665066
-3536373891454903.0	1161560435359661.2	3500360195312517.5	-1361789151434299.8	-177245384193338.03	30490840989747.0	176742272132277.25	-36936892519840.195	-145939452145232.47	47935399019763.984	144453235120091.44	-56198458872763.68	-7314581279697.479	1258299254002.3428	7293818797897.623	-1524315590983.8157	0.013756035289696676	0.8683147139142599	-0.4089704800738153	0.2044852436101564	0.20448524284711306	-0.20448524210235203	0.4089704800738153	0.5891429101865681	0.028	0.0	0.0	0.1	0.1	42.82795862175523	24.23178817976828
-1.77814249328842e+16	2.328965416670636e+16	4525685912114538.0	-4182926249253929.0	-866964687128740.6	708525800166242.6	240299918485492.8	-81364084369837.73	-787156398085135.9	1030997254478156.6	200345171148603.34	-185171726801785.97	-38379196434656.75	31365350016343.39	10637708676844.006	-3601863170572.583	0.014756155202340434	0.900620702095163	-0.41073938847798314	0.2053697007860344	0.20536970089649476	-0.20536970379496727	0.41073938847798314	0.5899910919121907	0.028999999999999998	0.0	0.0	0.09999999999999999	0.09999999999999999	39.982711202345065	22.589443439879112
