SigmaE11	SigmaE12	SigmaE21	SigmaE22	SigmaAlpha11	SigmaAlpha12	SigmaAlpha21	SigmaAlpha22	SigmaAlphaBar11	SigmaAlphaBar12	SigmaAlphaBar21	SigmaAlphaBar22	SigmaKappa11	SigmaKappa12	SigmaKappa21	SigmaKappa22	rhoH	S	Ttt	Txx	Tyy	FreeEnergy	InternalEnergy	rho	T	Ax	Ay	Gx	Gy	mu	Q
-5122025781387698.0	-6034886573192996.0	2282109811531071.0	-2377246829703251.0	-435006959466683.8	-575796078993559.6	207817611559821.06	-229663243523657.97	-453218831652865.25	-533992673718848.9	201930873960855.78	-210349005782763.88	-38491283399386.07	-50948909148415.14	18388594499130.625	-20321589805664.64	0.029494764441301204	1.2999683715918728	-0.43710054700689754	0.21855029639522627	0.21855029462521208	-0.21855029391421466	0.43710054700689754	0.6023521376858454	0.041	0.0	0.0	0.1	0.1	20.42234101867728	11.301440769148323
1.7123711594942684e+16	-1.1652994184504968e+16	-1.9380197599705296e+16	1.43590861066142e+16	1777867163820700.2	-1072137750573473.0	-1996776230650315.5	1326532210579012.0	1589992071686530.5	-1082018244820489.6	-1799514104194004.2	1333287642669925.0	165080723259880.0	-99551461943047.25	-185407138987541.7	123172811336086.8	0.030951079401817592	1.3343447710765086	-0.4397347939039654	0.21986743274250548	0.21986743456014735	-0.2198674703761378	0.4397347939039654	0.6035597838948898	0.041999999999999996	0.0	0.0	0.1	0.1	19.500443782887668	10.76968363545257
1676461005937285.0	-1119268824840363.2	-1512245498171573.2	995696860895108.1	151815149588297.94	-92672235394939.55	-124853401004504.19	84347520742375.4	163165689597943.44	-108935590511068.33	-147183011520509.56	96908645273039.38	14775782726983.559	-9019553178538.947	-12151664250704.785	8209329855609.858	0.03244248628909344	1.3689085151236682	-0.44243800307421577	0.22121907833967325	0.22121906065717273	-0.22121909381923627	0.44243800307421577	0.6047940307431343	0.043	0.0	0.0	0.1	0.1	18.642037029893057	10.274592716570217
-2226393611751017.5	-541819067526581.5	-2196605354672629.0	7856238883437106.0	-221892148547965.12	-47021918358050.44	-230822186542629.7	738561474909131.6	-226884994293793.28	-55215131500199.08	-223849363710961.3	800605384794212.6	-22612353265579.082	-4791860532674.971	-23522386248412.395	75264551216792.25	0.03396898510312864	1.4036634279335898	-0.4452105802521551	0.22260532741902045	0.22260532379903436	-0.2226053262887675	0.4452105802521551	0.6060547157118447	0.044	0.0	0.0	0.09999999999999999	0.09999999999999999	17.841413685802657	9.812872899245006
-296297398604676.44	6516905892945236.0	-2684252401164028.5	656969284746420.0	-184739396624965.97	757186321387387.4	-232304689110875.94	24233314515215.293	-31582851580439.473	694648257290942.6	-286119100571349.9	70027490996425.83	-19691691429430.207	80709798060100.4	-24761758126056.81	2583070857997.312	0.0355305758439233	1.4386132944723642	-0.4480528559495665	0.22402646358818284	0.22402644452437676	-0.2240264164665266	0.4480528559495665	0.6073416741648368	0.04499999999999999	0.0	0.0	0.09999999999999999	0.09999999999999999	17.093493694914624	9.381591077994239
2.4884000296908056e+16	-1.8239018597680004e+16	-2.6072142146397624e+16	1.881046324369271e+16	3060948552876998.0	-1785580349839846.2	-3207836618202303.5	1786624783601418.2	2771624135468685.0	-2031494275414928.8	-2903961484251585.0	2095142794707464.2	340933884638957.5	-198881109724535.22	-357294538159706.1	198997440611327.28	0.03712725851147755	1.4737618601403764	-0.45096521279062	0.2254826413596083	0.22548264815608565	-0.2254825722176398	0.45096521279062	0.6086547394418025	0.046000000000000006	0.0	0.0	0.1	0.1	16.393743137634086	8.978129457910365
4464364128026239.5	-9898708755090814.0	-4534762862740729.0	9864884278925338.0	508963273159652.25	-1097162683835782.1	-516677749052460.3	1094052652252496.5	519103311103375.3	-1150993141029336.0	-527289071771589.06	1147060129054886.0	59180773062074.586	-127574894355676.75	-60077789941644.016	127213268904387.03	0.03875903310579084	1.509112830469411	-0.4539479579216327	0.22697406171188111	0.2269740692049615	-0.22697408806130576	0.4539479579216327	0.6099937429508762	0.047	0.0	0.0	0.1	0.1	15.738105264026476	8.600145736957144
-5232522559407484.0	2441289244033100.5	4251151680463691.5	-1621575928015350.0	-627060925073284.9	295363398153852.4	508750930773737.44	-177239014034868.88	-634588295345660.2	296073941818244.06	515569893398945.0	-196660997109842.06	-76048506050815.45	35820993261647.64	61700142187591.86	-21495139774011.6	0.040425899626864104	1.5446698708480209	-0.45700171186356997	0.2285009519139457	0.22850095381939906	-0.2285009561989158	0.45700171186356997	0.6113585142617808	0.048	0.0	0.0	0.1	0.1	15.122941478225105	8.245539033393372
-9093510222718486.0	1.244521890184007e+16	7275027978881882.0	-1.0483306646376198e+16	-2826657337435051.0	2923890450217201.5	2456521641368220.0	-2516603588410687.0	-1149270324190348.0	1572871246815594.2	919444038551254.1	-1324917763656044.8	-357243057411755.3	369531725738096.44	310463985194911.75	-318057356408480.44	0.04212785807469624	1.5804366062748896	-0.460126740714636	0.2300635216216685	0.23006352102008604	-0.23006353418980297	0.460126740714636	0.6127488811969694	0.049	0.0	0.0	0.1	0.1	14.544980666010892	7.912420630128418
-7520215805016810.0	7339441293320726.0	1.4267113467905014e+16	-1.3786251689914488e+16	-1101242824159859.1	1068556999648745.6	2032608920393345.2	-1922366609247343.8	-989620733417762.6	965831761201224.5	1877476878315602.0	-1814198004710658.5	-144917746986609.47	140616464887301.44	267480612618756.38	-252973305961785.78	0.043864908449288136	1.6164166211396302	-0.4633236697064114	0.23166185628096875	0.23166183864430787	-0.23166183127447149	0.4633236697064114	0.6141646699239014	0.04999999999999999	0.0	0.0	0.1	0.1	14.001275544296817	7.599088773175333
-6028668890065236.0	5918166414205443.0	7220952415093186.0	-5886815913629835.0	-729887309886833.2	826161383342102.0	860197989498383.8	-923263191624808.2	-825392004284045.1	810262982987392.6	988628915506585.4	-805970749829912.2	-99929712610649.61	113110706939395.03	117770697906995.9	-126405027397123.92	0.04563705075063935	1.652613459030656	-0.46659265819889384	0.23329636103052875	0.23329635679332822	-0.23329633325678845	0.46659265819889384	0.6156057050451188	0.051	0.0	0.0	0.09999999999999999	0.09999999999999999	13.489164942071113	7.3040068946321925
3265301790267318.0	-5150832950331212.0	-4243716020349558.0	5710647838295078.0	109245043206341.53	353992239347094.6	-188677957015114.38	-534649449069004.9	464759726037153.5	-733132759120282.5	-604020216714998.9	812812810359989.2	15549158887191.219	50384726051543.766	-26855072285497.81	-76098182476077.77	0.047444284978750015	1.6890306225696223	-0.4699342647669485	0.23496718551650947	0.23496719620384784	-0.23496713729514307	0.4699342647669485	0.6170718096884712	0.05199999999999999	0.0	0.0	0.09999999999999999	0.09999999999999999	13.006241109224904	7.025784738512697
-3.2639393163058744e+16	3.3357982663087084e+16	2.6986775282158148e+16	-2.6482282429046216e+16	-5506210564573775.0	4367902098904833.5	4580019785765842.0	-3334708432034503.5	-4826055235394549.0	4932305759152336.0	3990260097245947.0	-3915665868032899.5	-814147376747851.5	645837276655270.2	677200962495911.5	-493069433201015.0	0.04928661113362035	1.725671573271836	-0.4733487678055667	0.2366745739469872	0.23667459665668494	-0.2366746311740906	0.4733487678055667	0.61856280559625	0.05299999999999999	0.0	0.0	0.1	0.1	12.550321301644782	6.763161955478225
-1.146548863467396e+16	6938223362181834.0	2.0075321320700492e+16	-1.4151798283498018e+16	-1768679474549878.8	1091569992624370.9	3120729807974564.0	-1998926593559157.0	-1759861786414530.8	1064962388413686.5	3081402979673212.0	-2172189062475411.5	-271478304924818.9	167547356979352.06	479007333204283.25	-306819415895968.5	0.05116402921524997	1.7625397314323608	-0.4768370060828674	0.23841870638528248	0.2384186480101332	-0.23841865262771988	0.4768370060828674	0.6200785132132398	0.05399999999999999	0.0	0.0	0.1	0.1	12.11942301503342	6.514993804162665
7.001718787359022e+16	-1.5380093147119984e+16	-1.0973948783910389e+17	2.5791945422173692e+16	1.4456535684304856e+16	-1854558892615614.5	-2.2979156310899844e+16	3162180895583256.5	1.114881005550335e+16	-2448966351558745.0	-1.74737766920209e+16	4106841608561437.0	2301908649857585.0	-295300703419352.0	-3658962273784432.0	503512855009946.1	0.053076539223638905	1.7996384760368915	-0.48039928772293383	0.24019961566782286	0.24019963956490664	-0.2401995802331509	0.48039928772293383	0.6216187517740557	0.055	0.0	0.0	0.1	0.1	11.711742341654078	6.280238655516804
-3.175113453391848e+17	4.999544874503586e+17	2.91670798338428e+17	-4.5757378144697434e+17	-7.244910580179664e+16	7.320444529912016e+16	6.635639014928e+16	-6.705678120058902e+16	-5.241236725637405e+16	8.252869887130475e+16	4.814680553900468e+16	-7.553281302268758e+16	-1.1959349473396722e+16	1.208403519476732e+16	1.095361013508353e+16	-1.1069225383304258e+16	0.05502414115878721	1.836971144697169	-0.48403572798550193	0.24201800788903954	0.24201803088483104	-0.24201799550673553	0.48403572798550193	0.623183339389196	0.056	0.0	0.0	0.1	0.1	11.325635007927515	6.05794704494207
5267019951689299.0	110508487438155.81	1976131219264476.5	2498166929486353.0	927798302232422.5	-30907679928242.19	333692636824727.7	410715262510102.5	900768412309894.1	18899217335318.65	337958959187531.6	427237770010112.06	158672534243518.38	-5285847031624.731	57068283285258.266	70240731631177.71	0.05700683502069499	1.8745410336101997	-0.4877473540747721	0.2438737461557732	0.2438737295403564	-0.24387357797112014	0.4877473540747721	0.6247720931301108	0.057	0.0	0.0	0.09999999999999999	0.09999999999999999	10.959599719984626	5.847252056921617
2.568666693080941e+16	-1.4329557224598323e+17	-2.881495725277628e+16	1.6114481887983978e+17	7403277798270108.0	-2.2856163258285564e+16	-8373838988185639.0	2.5663091206537816e+16	4548437326341809.0	-2.5373900446436856e+16	-5102375776448832.0	2.853453548932505e+16	1310926994367668.8	-4047229108431174.0	-1482788012988795.0	4544262681785497.0	0.0590246208093622	1.9123513975406676	-0.49153413318277295	0.24576710831120047	0.24576710697522738	-0.2457670769875242	0.49153413318277295	0.6263848291129385	0.057999999999999996	0.0	0.0	0.1	0.1	10.612263501631737	5.647360859969778
-1027363265256715.2	1321499407723918.5	-4570580762695217.0	2674524820529007.0	-129021584078514.92	180677333816253.75	-902559514015436.0	545428135868775.0	-188246334954401.03	242141634377278.34	-837478919372755.6	490059857341067.44	-23640946833662.117	33105958768872.03	-165378232157419.84	99940158491700.75	0.06107749852478898	1.9504054498259105	-0.49539684388435634	0.2476985191949112	0.2476984356237904	-0.24769844023654386	0.49539684388435634	0.6280213625811715	0.059	0.0	0.0	0.1	0.1	10.282368756902528	5.45754723727042
-4.116008302648325e+16	3.24863604729684e+16	6.163481923305707e+16	-4.959591516654642e+16	-7665761395863109.0	7082541308382657.0	1.128198445624018e+16	-1.0340662591583782e+16	-7799687742477488.0	6156048504947977.0	1.1679576636727818e+16	-9398247601992670.0	-1452634222277931.8	1342116112667680.5	2137895490092662.5	-1959518381262182.8	0.06316546816697463	1.9887063624030097	-0.49933590451729126	0.24966815681091722	0.24966812010386208	-0.24966798521365247	0.49933590451729126	0.6296815079867631	0.060000000000000005	0.0	0.0	0.1	0.1	9.968761829202597	5.277144981371759
1237111851931285.5	5928248396760241.0	3264545457846777.0	-4399175795759069.5	292077301832351.9	1135235965893288.5	608687183399798.9	-868805920874411.5	242307641794402.44	1161139865201300.8	639412119596619.1	-861647159264790.8	57207892817601.305	222353661349509.9	119220873819802.94	-170169183599242.03	0.06528852973592077	2.027257265856943	-0.5033515463771249	0.25167629425784277	0.2516762777712226	-0.25167622591042726	0.5033515463771249	0.6313650790702786	0.061	0.0	0.0	0.1	0.1	9.670382862409761	5.1055420405639165
1.9788573037593816e+16	-8419606982919608.0	-2.947099919189021e+16	1.3648297620452028e+16	3687525869314973.0	-1077835115019634.0	-5413410526228018.0	1834729908381364.5	4004020851817024.0	-1703623695335111.8	-5963163441044134.0	2761597218772452.5	746134167648259.8	-218089210735933.75	-1095349754895635.5	371239340838524.7	0.06744668323162567	2.066061249489778	-0.5074450041179234	0.25372268510406226	0.2537225841216392	-0.25372268228972933	0.5074450041179234	0.6330718889392865	0.062	0.0	0.0	0.1	0.1	9.386256797314442	4.942175320743583
-3.412825623046337e+16	9598285844324168.0	5.97737998186225e+16	-1.864218899365687e+16	-5868352304658206.0	3625312632986594.5	1.0274640365439184e+16	-6446367731223984.0	-7130067986933336.0	2005271824200727.8	1.2487929464257164e+16	-3894722134422660.5	-1226014907440286.5	757399539329811.2	2146575665986678.5	-1346773766641288.8	0.06963992865408951	2.105121361409623	-0.5116162188104671	0.25580823691216753	0.2558083310364495	-0.25580817710371184	0.5116162188104671	0.6348017501453728	0.063	0.0	0.0	0.1	0.1	9.115485360394004	4.786526060201142
-1556510582128242.0	1781234624477250.0	-1078144088088415.5	877035656094965.4	192600359310100.66	341720370785154.25	-561723441641523.1	209217323368645.1	-335591149660062.75	384042731418693.56	-232453038337891.53	189093095479852.0	41525561565692.57	73676551519008.2	-121110269172557.77	45108258745072.81	0.07186826600331422	2.1444406086389303	-0.5158657637034334	0.25793323545638436	0.25793328633065704	-0.25793291000935437	0.5158657637034334	0.6365544747598962	0.064	0.0	0.0	0.1	0.1	8.857239921865048	4.638115706283773
5704219246116394.0	4169815929471134.5	-1232164339618100.2	1539562707654465.5	1289536368330017.2	960280774473221.8	-268475511634198.84	335468254960603.5	1268590328878092.8	927346571562856.1	-274027294075731.44	342391180521599.94	286786551325811.1	213561725267429.72	-59707634455254.055	74606491357844.33	0.07413169527929701	2.184021957241807	-0.520193928943313	0.26009730715430734	0.2600974014551456	-0.2600973727254262	0.520193928943313	0.6383298744480217	0.06499999999999999	0.0	0.0	0.09999999999999999	0.09999999999999999	8.610755116862466	4.496502232648126
-375434432618835.1	9462578364729602.0	1378846224262114.8	-7182777437620328.0	-102384064458522.33	2127162471330324.2	325444156817902.5	-1625252358861168.5	-86083604879601.28	2169680738683469.8	316156546247363.94	-1646943703498762.2	-23475708632625.938	487738464528702.2	74621302075215.47	-372655168877083.8	0.07643021648203954	2.223868332469008	-0.5246018699556132	0.26230110720944166	0.2623011390439628	-0.2623012005286083	0.5246018699556132	0.640127760541267	0.06599999999999999	0.0	0.0	0.09999999999999999	0.09999999999999999	8.375323137957599	4.361276844108891
8429682302721578.0	1.5292372150060768e+16	-1.4186101540761038e+16	-1.9614693188528284e+16	594485376130951.9	2919636676920447.0	-1136972771658705.5	-3416474383614307.5	1991862181712793.5	3613457383150692.0	-3352055053825289.5	-4634785056551305.0	140471834616381.95	689885297245648.1	-268656988979641.56	-807283818669508.9	0.07876382961154214	2.26398261892046	-0.5290898914922244	0.26454523153826726	0.26454519772175766	-0.26454488808391996	0.5290898914922244	0.6419479441084736	0.067	0.0	0.0	0.09999999999999999	0.09999999999999999	8.150288619463732	4.232061023154006
-295459486772136.25	-1.3602429831197098e+16	961081284619177.9	-1221231864483779.0	-5892625615380.223	-3219696729623188.0	233082563383709.62	-294001552869038.2	-71914131160410.16	-3310798829537626.5	233924881928809.25	-297244909747945.75	-1434250956072.5457	-783666469607838.2	56731737462563.5	-71559273541600.16	0.08113253466780293	2.304367660724572	-0.5336579147786622	0.2668294855178167	0.2668294148106278	-0.26682932217579036	0.5336579147786622	0.6437902360251817	0.06799999999999999	0.0	0.0	0.1	0.1	7.9350440444272055	4.108503878230608
3379961167197737.0	-656634096287815.8	-4121257978533613.5	485326958396442.25	667269631628728.1	-218900494053114.0	-1027708651474466.0	234151693944487.22	847048671089745.2	-164558410922201.53	-1032824319940088.4	121627301267063.44	167223771744769.28	-54858432809246.266	-257553032249957.16	58680520685842.516	0.08353633165082411	2.3450262617333215	-0.5383071910764108	0.2691540871058908	0.26915410629575576	-0.26915406802464337	0.5383071910764108	0.6456544470414549	0.069	0.0	0.0	0.09999999999999999	0.09999999999999999	7.729025614149271	3.990279759071273
