SigmaE11	SigmaE12	SigmaE21	SigmaE22	SigmaAlpha11	SigmaAlpha12	SigmaAlpha21	SigmaAlpha22	SigmaAlphaBar11	SigmaAlphaBar12	SigmaAlphaBar21	SigmaAlphaBar22	SigmaKappa11	SigmaKappa12	SigmaKappa21	SigmaKappa22	rhoH	S	Ttt	Txx	Tyy	FreeEnergy	InternalEnergy	rho	T	Ax	Ay	Gx	Gy	mu	Q
-3297136335070985.0	3310221013103221.0	3045995725579353.0	-3330823107767721.0	-488885398414593.3	336818066553422.5	469849593749057.7	-325867283774229.56	-451414734766192.0	453206173112430.44	417030784543446.75	-456026829631750.1	-66933863216073.6	46114149591087.92	64327649265272.98	-44614865302728.25	0.04563705075063936	1.6526134590306552	-0.4665927465855814	0.23329629195339713	0.23329628506640177	-0.23329624486984923	0.4665927465855814	0.6156057050448671	0.051	0.0	0.0	0.09999999999999999	0.09999999999999999	13.489164942071113	7.3040068946321925
-5808522817830557.0	3927959342119602.0	6211869455768450.0	-4350062141532712.0	-698227066905253.1	517883677316504.3	754380118544192.8	-602071163031787.2	-826743635624100.2	559077667237347.2	884153114130731.9	-619156763754391.8	-99380651826379.75	73711862317335.11	107373075979531.83	-85694507509094.81	0.047444284978750036	1.6890306225696219	-0.46993435727265104	0.23496711192414152	0.2349671297953101	-0.23496704478914637	0.46993435727265104	0.6170718096881771	0.05199999999999999	0.0	0.0	0.09999999999999999	0.09999999999999999	13.006241109224904	7.025784738512697
4953020252417055.0	-6764332969627399.0	-5527466870632918.0	7196994144666412.0	734252534826045.5	-1026651855432105.4	-856152947922774.9	1072924068245655.5	732352749353397.0	-1000173145956950.5	-817290330620473.8	1064146355217233.4	108566457473527.33	-151800572304859.56	-126590632245503.89	158642373982559.66	0.04928661113362036	1.7256715732718364	-0.47334879341616243	0.23667451852344623	0.23667455033816592	-0.23667460556323383	0.47334879341616243	0.6185628055959891	0.05299999999999999	0.0	0.0	0.1	0.1	12.550321301644782	6.763161955478225
-1.823650341115933e+16	1.1387745485063168e+16	3.3062796348717224e+16	-1.9046912134465652e+16	-2765726703693905.0	1703507095897744.2	5027426918138369.0	-2801248523304154.5	-2799158979937378.0	1747928828080616.8	5074877634970325.0	-2923550306723977.0	-424517165607529.25	261474860468664.8	771670253151411.8	-429969483856481.25	0.05116402921524995	1.7625397314323603	-0.4768370821989666	0.23841865895885042	0.2384185724104082	-0.2384185765113398	0.4768370821989666	0.6200785132129587	0.05399999999999999	0.0	0.0	0.1	0.1	12.11942301503342	6.514993804162665
3136747000866107.5	-2760756282567055.0	-3958823855194396.0	7331279299138136.0	502208044841022.06	-422835310776538.94	-634110106736378.9	1128411845457891.2	499463025678252.25	-439594167355687.44	-630362008889042.0	1167356799840348.8	79966394971286.16	-67327904872704.49	-100969109856887.19	179676586727574.72	0.053076539223638926	1.7996384760368913	-0.48039944251122585	0.2401994855996823	0.24019951956142144	-0.2401994254445805	0.48039944251122585	0.6216187517737775	0.055	0.0	0.0	0.1	0.1	11.711742341654078	6.280238655516804
6097290045242640.0	-4742871362626238.0	-7424982163390366.0	5755548050654768.0	935658922541212.0	-823980474987806.8	-1152989366620565.8	1003741216767793.6	1006494444406394.5	-782917270065267.0	-1225659799979486.2	950082265156138.4	154451485891143.53	-136016453903427.02	-190326748990513.34	165689995194955.53	0.05502414115878723	1.8369711446971684	-0.484035833884755	0.24201790531757683	0.2420179443727785	-0.2420178896071708	0.484035833884755	0.6231833393888845	0.056	0.0	0.0	0.1	0.1	11.325635007927515	6.05794704494207
4379094247459985.0	1260272649509517.0	1078322651713531.0	4383140407927613.5	729848230119377.1	228635753353169.94	205788928365336.9	740431298704227.9	748914909915003.1	215532465035028.3	184415284515916.62	749606886321739.2	124819012933672.39	39101402013705.555	35194126465221.67	126628934668160.08	0.057006835020695035	1.8745410336101982	-0.48774756113883144	0.24387362762973253	0.2438736045905712	-0.24387337090674605	0.48774756113883144	0.6247720931297963	0.057	0.0	0.0	0.09999999999999999	0.09999999999999999	10.959599719984626	5.847252056921617
-247303321650038.03	-2656283288945049.0	3909922825871890.5	1382415334679630.5	-22773323674005.184	-420365698718402.9	661861167348322.1	159643404760637.94	-43790954355865.18	-470358341676636.5	692345136572809.2	244789622791515.75	-4032560383280.8696	-74435777904341.92	117198313293518.53	28268674292134.04	0.05902462080936224	1.912351397540666	-0.4915343045816295	0.2457669443649349	0.24576694568407503	-0.2457669055883101	0.4915343045816295	0.6263848291125809	0.057999999999999996	0.0	0.0	0.1	0.1	10.612263501631737	5.647360859969778
3.4567112418763526e+17	-1.6460980448986477e+17	-1.2018640533851484e+18	5.583792946378653e+17	7.57211761580827e+16	-3.059707289642874e+16	-2.62984416839397e+17	1.0426720826649331e+17	6.333818273289092e+16	-3.01618652726835e+16	-2.2022054984286298e+17	1.0231323163354056e+17	1.3874580075270344e+16	-5606378024082898.0	-4.818729099464748e+16	1.9105140777239924e+16	0.06107749852478898	1.9504054498259096	-0.4953970311602751	0.24769837092605923	0.24769824607287397	-0.24769825296029918	0.4953970311602751	0.6280213625808455	0.059	0.0	0.0	0.1	0.1	10.282368756902528	5.45754723727042
1.894588478661575e+16	-4.321602873287239e+16	-1.0728214240882276e+16	2.9153273327284924e+16	3174726828094650.0	-8112256555910550.0	-1822623672590653.8	5567491407332287.0	3590177047152164.5	-8189282061687311.0	-2032958025362644.2	5524440474952756.0	601599319196513.0	-1537243449733979.8	-345380632714171.5	1055019603779176.4	0.06316546816697466	1.9887063624030095	-0.4993361124566203	0.24966803518957179	0.24966797417113462	-0.24966777727393186	0.4993361124566203	0.6296815079863716	0.060000000000000005	0.0	0.0	0.1	0.1	9.968761829202597	5.277144981371759
-4746330025822189.0	4013872325415432.0	1361870520133828.0	-3860774883956933.5	-958058201625842.0	786514366249337.1	227311809450739.12	-805491340433075.4	-929642727082063.2	786179468022145.2	266743571850667.0	-756192947444678.9	-187650634156755.7	154051099765780.6	44522561491947.11	-157768035995658.56	0.0652885297359208	2.027257265856942	-0.5033516410972668	0.25167623538752143	0.2516762097312917	-0.25167613118991533	0.5033516410972668	0.6313650790699088	0.061	0.0	0.0	0.1	0.1	9.670382862409761	5.1055420405639165
7170930059143585.0	-3790694862327187.0	-2577711947270629.0	1207890199757708.0	1396539898045262.8	-820780089247483.5	-458247077741446.6	277413703081105.53	1450966344525451.5	-767009386821319.5	-521574363509763.8	244404563044904.03	282575952371328.06	-166076684046884.47	-92721736482726.94	56131902467465.0	0.06744668323162568	2.0660612494897785	-0.5074451899371638	0.2537224839542102	0.25372233290059365	-0.25372249647012846	0.5074451899371638	0.6330718889389262	0.062	0.0	0.0	0.1	0.1	9.386256797314442	4.942175320743583
5837496672514899.0	-6271826242252984.0	-6051027074497630.0	8552796172651425.0	1094808374881074.1	-1950518291283959.0	-990589257322937.1	2639852869177370.0	1219568555377177.0	-1310308596123934.5	-1264179281255841.2	1786848345769111.2	228727131349836.25	-407501863930504.0	-206953695616414.9	551517496400375.44	0.06963992865408951	2.1051213614096227	-0.5116165005236624	0.255807998154466	0.2558081404754126	-0.25580789539008697	0.5116165005236624	0.6348017501449432	0.063	0.0	0.0	0.1	0.1	9.115485360394004	4.786526060201142
1907196984977668.5	-1548097510301074.0	-1091566901965728.8	566321755174126.4	225226340120016.2	-483307017529370.44	-68063587764877.62	218064225863196.03	411200820711238.9	-333777251008123.6	-235347061412635.7	122101687632940.8	48559879568089.7	-104203311891196.98	-14674836091876.96	47015693370424.086	0.07186826600331422	2.1444406086389294	-0.5158660777778753	0.25793308387118286	0.25793317018915496	-0.2579325959345103	0.5158660777778753	0.636554474759494	0.064	0.0	0.0	0.1	0.1	8.857239921865048	4.638115706283773
-1.007090179667174e+16	-4813437197980600.0	2.894647917619125e+16	1.5007424506049688e+16	-2165984367015002.8	-1025176873742397.0	6294496167657763.0	3235819796061281.5	-2239719069535584.8	-1070484778820098.0	6437554721093205.0	3337577461228293.0	-481704279225788.8	-227994298834940.84	1399865015512400.0	719630421300931.8	0.07413169527929701	2.184021957241806	-0.5201941410861897	0.2600970807248644	0.26009721575153366	-0.26009716058212007	0.5201941410861897	0.6383298744475925	0.06499999999999999	0.0	0.0	0.09999999999999999	0.09999999999999999	8.610755116862466	4.496502232648126
234350540434831.84	2916716047902456.0	-2552475132236424.0	-452924558164141.9	66997162464182.445	620440180003523.6	-616448929973823.5	-17607994470270.426	53734387614346.92	668775716873417.2	-585258680765510.4	-103851366091544.77	15361822892458.346	142261131815463.3	-141345975504051.6	-4037348487531.668	0.07643021648203956	2.223868332469007	-0.5246021750240262	0.2623007618912534	0.26230082060915944	-0.26230089545973323	0.5246021750240262	0.6401277605408049	0.06599999999999999	0.0	0.0	0.09999999999999999	0.09999999999999999	8.375323137957599	4.361276844108891
