SigmaE11	SigmaE12	SigmaE21	SigmaE22	SigmaAlpha11	SigmaAlpha12	SigmaAlpha21	SigmaAlpha22	SigmaAlphaBar11	SigmaAlphaBar12	SigmaAlphaBar21	SigmaAlphaBar22	SigmaKappa11	SigmaKappa12	SigmaKappa21	SigmaKappa22	rhoH	S	Ttt	Txx	Tyy	FreeEnergy	InternalEnergy	rho	T	Ax	Ay	Gx	Gy	mu	Q
1692594400350403.0	-683242175646740.5	-1619074597171382.5	653026380932355.4	61551901539.84585	-5147915508.437697	-58776397693.15281	4616662334.967916	89094598095.78314	-35964426580.12321	-85224670772.97392	34373930897.473915	3239962.2311103777	-270975.4109785333	-3093865.564546375	243011.36479778122	1.7545963379714123e-05	0.030391299876784773	-0.3849305703597114	0.19246528517985417	0.1924652851798544	-0.19246528517985323	0.3849305703597114	0.5773654642396878	0.001	0.0	0.0	0.1	0.1	32905.88562992246	18997.721932938333
-174674938519729.28	356087290313019.4	169817097148643.03	-250643332295785.16	-35268575173.55848	71291576033.36868	39917485874.93954	-52917380953.23141	-36778080895.47751	74974734669.68387	35755254813.82563	-52773344758.079384	-7425853.541404933	15010552.588350268	8404688.944458587	-11141837.140283443	7.018385351885676e-05	0.060787398513245335	-0.3850217478585037	0.1925108739292383	0.19251087392923505	-0.19251087392918287	0.3850217478585037	0.57741104699066	0.002	0.0	0.0	0.1	0.1	8227.120883801535	4749.430483234583
234428803796047.88	-256425144072985.97	-215014022194196.88	236353417857680.97	113053632716.72336	-126714737475.21138	-108998806531.89046	120003839623.92488	111058538577.00273	-121479107063.65204	-101860960307.68819	111970307188.81737	53558142.28897632	-60029967.872076385	-51637204.831703216	56850740.33759843	0.0001579136704174271	0.09119309340645665	-0.38517372635162433	0.1925868631754849	0.19258686317545562	-0.19258686317535567	0.38517372635162433	0.5774870102467606	0.003	0.0	0.0	0.1	0.1	3656.979213517336	2110.8579925487034
-4989897497386115.0	1772012266342875.2	4708205447333855.0	-1727284785341494.0	-6390575287859.355	3065999847668.3022	6009598172435.817	-2933352275252.6733	-4202522820367.878	1492399792015.4885	3965280017428.767	-1454730028317.2751	-5382182398.85206	2582204210.371053	5061321094.097684	-2470487596.866719	0.00028073541407542586	0.12161317952968657	-0.38538652982883614	0.1926932649106756	0.19269326491091082	-0.19269326491063787	0.38538652982883614	0.5775933420213553	0.004	0.0	0.0	0.1	0.1	2057.4295691322045	1187.3576208086458
2183825695325192.0	-2394366647808049.0	-1243734195610150.2	1366081208481040.5	2227520188660.7773	-2756757045501.883	-1257957964684.4944	1578877105742.6802	2873799425839.155	-3150860214003.738	-1636688598770.675	1797690814329.4434	2931299074.3363004	-3627746862.535949	-1655406328.618166	2077718990.8824716	0.00043864908449285303	0.15205244807397775	-0.38566019186767087	0.1928300959211529	0.19283009592095948	-0.19283009591908423	0.38566019186767087	0.5777300255463852	0.005	0.0	0.0	0.1	0.1	1317.0665253167488	759.9088773175333
-633752561324006.6	10707320925792.297	637076225353193.4	-12747540186685.123	-696751591575.3186	333375395657.9394	768033744429.193	-291695628741.90265	-1200938317141.5007	20289988172.754745	1207236540974.5295	-24156130316.118515	-1320319214.338134	631734388.2625142	1455396331.0471659	-552752728.5522676	0.0006316546816697092	0.18251568519389644	-0.38599475562476326	0.1929973777707728	0.1929973777660065	-0.1929973777719478	0.38599475562476326	0.5778970392855477	0.006	0.0	0.0	0.09999999999999999	0.09999999999999999	914.8939381845995	527.7144981371758
-870943553767816.9	328443803948975.4	-104557887095148.94	-101308232844133.28	-2673012411918.315	548150361552.25183	18568558243.647617	119999917999.3436	-2246386923930.7773	847140854588.3414	-269681622130.68533	-261299929901.39697	-6894384950.277258	1413820447.0449827	47893076.714706436	309510582.5175333	0.0008597522056059892	0.21300767075883267	-0.3863902738221764	0.19319513679061776	0.1931951367864068	-0.19319513682444317	0.3863902738221764	0.5780943569513077	0.007	0.0	0.0	0.09999999999999999	0.09999999999999999	672.3964802670387	387.7086108762925
2585371170120016.5	823596615490511.8	-470640843961409.3	-107504429720785.97	9554117620379.994	2899808975295.1465	-1578792898821.8352	-393865162824.2	8709662951788.12	2774552842570.328	-1585506626523.835	-362163607111.35095	32186149995.394047	9768948881.029945	-5318676938.281291	-1326862794.904076	0.0011229416563017047	0.24353317711120606	-0.3868468088183962	0.19342340411839806	0.19342340411783396	-0.19342340412396447	0.3868468088183962	0.5783219475254711	0.008	0.0	0.0	0.1	0.1	515.006228756435	296.83940520216146
1274391697029538.2	524266061830019.44	-2069961815323727.5	298438938197089.8	5410684277586.62	2713140679551.6753	-9202084461666.088	2253746117516.517	5433584501540.719	2235297008669.6553	-8825632232806.102	1272444879407.0217	23069367371.077343	11567934082.80579	-39234643186.489395	9609227683.36468	0.0014212230337568477	0.27409696783292614	-0.38736443208151367	0.19368221577140649	0.19368221580745418	-0.19368221591248713	0.38736443208151367	0.5785797752835045	0.009000000000000001	0.0	0.0	0.1	0.1	407.0999143280604	234.53977694985596
1.2633301232294804e+16	1.7477076288167638e+16	1.4931116686587292e+16	1.8856504781348584e+16	86710235091887.9	94992898201749.66	108604951087722.61	100089043119264.19	66499032236025.69	91995642161002.17	78594247980333.47	99256662708888.58	456424382870.6218	500022573954.2673	571673548392.2744	526847605584.3964	0.0017545963379714165	0.3047037965214311	-0.3879432259450425	0.19397161217189018	0.19397161220049663	-0.19397161184267464	0.3879432259450425	0.5788677998225028	0.01	0.0	0.0	0.1	0.1	329.91508490877163	189.97721932938333
1113573858132197.4	2705478986836319.0	-1.706485657821392e+16	-7378625474496053.0	12581830583147.633	5295411520458.531	-80472767871932.08	-39301929263558.67	7092557587148.493	17231695387625.459	-108689223542318.7	-46995828529634.71	80136002934.19196	33727454072.510506	-512545922446.71533	-250321246814.62854	0.002123061568945402	0.3353584055766157	-0.3885832794425701	0.1942916385753369	0.19429163846031033	-0.19429163911132485	0.3885832794425701	0.5791859760925522	0.011	0.0	0.0	0.09999999999999999	0.09999999999999999	272.80696168422435	157.0059663879201
4331681167459942.0	-5430038971851439.0	-1979443092319280.0	2449202559123057.5	33745638989326.55	-19091068107496.016	-14028649147298.021	8234423141226.134	32833520267120.25	-41158914458628.81	-15003893956347.656	18564603153931.113	255787090242.5383	-144707550578.107	-106335142936.71642	62415743136.06233	0.0025266187266788378	0.36606552499992484	-0.3892846962493285	0.19464234457526944	0.19464234450932622	-0.19464234448266976	0.3892846962493285	0.5795342544319991	0.012	0.0	0.0	0.1	0.1	229.37147117314964	131.92862453429396
-1.6817291875508746e+16	7227119977929414.0	-2.7115223557223136e+16	2.8700606013985668e+16	-114770629193467.39	86777337598852.77	-183797142892372.88	236671784076769.6	-149603322808581.47	64291038714092.336	-241211698820883.7	255314949523187.34	-1020976957245.9697	771954137763.2024	-1635023254812.2937	2105385669406.351	0.0029652678111716894	0.39682987120684055	-0.39004758128991496	0.1950237869332351	0.1950237874659762	-0.1950237876412812	0.39004758128991496	0.5799125806055072	0.012999999999999998	0.0	0.0	0.1	0.1	195.56836600749511	112.41255581620315
-1.4443603544633262e+16	-2464904015522639.0	1.0442469465344084e+16	196983330071769.94	-179194325722070.78	-198708900114964.56	128051225063122.77	113660723776947.62	-149015040052771.78	-25430479967433.63	107735233857638.05	2032282229961.2676	-1848752601259.6494	-2050084981768.6997	1321107878142.8806	1172640695496.085	0.003439008822423976	0.4276561458540414	-0.39087205766141875	0.19543602362874882	0.1954360235608084	-0.19543602422682138	0.39087205766141875	0.5803208958462835	0.014	0.0	0.0	0.09999999999999999	0.09999999999999999	168.7465562932672	96.92715271907312
-2059320304417371.2	1242864857243381.8	2097803601310352.2	-1769240575104796.0	-19563507202832.81	10199198435231.898	22915492401791.35	-18534763083981.47	-24389612087677.18	14719901358010.668	24845389987337.21	-20954045479968.883	-231700892147.7925	120794464516.74121	271400213594.22714	-219516935168.18063	0.003947841760435672	0.45854903468232805	-0.39175825227712274	0.19587911740737285	0.1958791184333639	-0.19587912014395453	0.39175825227712274	0.5807591369008424	0.015000000000000001	0.0	0.0	0.09999999999999999	0.09999999999999999	147.10800790473036	84.43431970194814
-3515970358334916.5	-1666051732945275.0	1648725865669654.8	4122142170657222.0	-10294716110464.69	-23438584016141.957	-12343305374693.527	55041501073957.47	-47378754932357.9	-22450546709735.508	22217075452591.477	55547101879549.586	-138724386722.89917	-315841948277.4485	-166329741380.36066	741700732575.8973	0.004491766625206821	0.4895132063765924	-0.3927063133552979	0.1963531372451407	0.1963531378373284	-0.19635313402448734	0.3927063133552979	0.5812272360777597	0.016	0.0	0.0	0.1	0.1	129.39836028345397	74.20985130054036
