SigmaEL	SigmaET	SigmaAlphaL	SigmaAlphaT	SigmaAlphaBarL	SigmaAlphaBarT	SigmaKappaL	SigmaKappaT	basis_angle	rhoH	S	Ttt	Txx	Tyy	rho	EInternal	T	Ax	Ay	Gx	Gy	mu	Q
113126.56076408806	0.0004937734809523416	2370.4867308471617	1.0347181628457831e-05	2370.486730850136	1.0347751240095145e-05	49.674938880835775	2.1684064103180593e-07	0.0	0.007078722160793347	0.6165111592575818	1.5481177467388325	1.8510393281899407	-3.3991570749287723	0.6328212873133192	-1.5481177467388325	0.02	0.2	0.2	1.0	1.0	83.12406323694964	47.49430483234583
48254.210725831625	5.679719626978507e-05	1005.0939513022186	1.1831739316821035e-06	1005.0939512992197	1.1850518141398341e-06	20.93830329660684	2.468653963454342e-08	0.0	0.007154915060564454	0.619457009904251	3.7582105800856143	4.068453192328788	-7.826663772414401	0.695231402474232	-3.7582105800856143	0.02	0.3	0.3	1.0	1.0	83.12406323694964	47.49430483234583
25635.11483868518	1.9740009181348035e-05	529.5108197580174	4.078642526318762e-07	529.5108197577763	4.080694708521715e-07	10.940439417324416	8.431437843681168e-09	0.0	0.007263018972331346	0.623628931102271	6.902996938697404	7.225269280494384	-14.12826621919179	0.783774106167815	-6.902996938697404	0.02	0.4	0.4	1.0	1.0	83.12406323694964	47.49430483234583
15254.491583016828	2.8689664621794377e-06	311.7350524200099	5.867152048989938e-08	311.7350524199776	5.869206165603065e-08	6.373501137795002	1.2002287057153067e-09	0.0	0.007404448197745196	0.629071847367048	11.034751847457759	11.375474871329196	-22.41022671878696	0.8996005059082184	-11.034751847457759	0.02	0.5	0.5	1.0	1.0	83.12406323694964	47.49430483234583
9702.419456206146	5.049161286114698e-07	195.70888154366924	1.0219359821013022e-08	195.70888154372932	1.0234570726989172e-08	3.9506357604494764	2.0728982171331e-10	0.0	0.007580983629845734	0.6358390913590483	16.222921313600082	16.590612740008797	-32.81353405360889	1.0441575523210354	-16.222921313600082	0.02	0.6	0.6	1.0	1.0	83.12406323694964	47.49430483234583
6436.451860404046	4.298392922914059e-07	127.85911834495752	8.553266042316448e-09	127.85911834484209	8.271239670555684e-09	2.5428232031518947	1.6458059641768058e-10	0.0	0.007794727998001185	0.643988396387169	22.555640150279203	22.961208158843206	-45.516848309122416	1.2191490578106459	-22.555640150279203	0.02	0.7	0.7	1.0	1.0	83.12406323694964	47.49430483234583
4391.462223421291	2.0842355223963608e-07	85.72017268893057	4.076938958927629e-09	85.7201726889292	4.06387832493836e-09	1.6761089077273723	7.949469761240295e-11	0.0	0.008048033598771025	0.6535763590916572	30.141370257369452	30.598284805728	-60.73965506309745	1.4264729471669493	-30.141370257369452	0.02	0.8	0.8	1.0	1.0	83.12406323694964	47.49430483234583
3055.9893215405154	9.117278259944926e-09	58.48905343852649	1.7397360509679913e-10	58.48905343849947	1.8692372147350872e-10	1.12225274722313	3.570791502819163e-12	0.0	0.008343394809446207	0.6646512228438313	39.11049208529116	39.63479993789769	-78.74529202318885	1.6681279183431057	-39.11049208529116	0.02	0.9	0.9	1.0	1.0	83.12406323694964	47.49430483234583
2158.5886184815276	1.936414668928443e-07	40.42332537225402	3.639802505091752e-09	40.423325372243546	3.652005927829109e-09	0.7597624984181359	6.864646176123389e-11	0.0	0.008683301225483386	0.6772440912967289	49.616658264394516	50.226810771525145	-99.84346903591965	1.9460854900651752	-49.616658264394516	0.02	1.0	1.0	1.0	1.0	83.12406323694964	47.49430483234583
1543.756801309723	3.128523889419071e-08	28.229626895745284	5.745782263152113e-10	28.22962689573543	5.761868040641987e-10	0.5189218977279401	1.0582619765597843e-11	0.0	0.009070055164480667	0.6913591044795773	61.837752521011204	62.55422726837321	-124.3919797893844	2.262129876452315	-61.837752521011204	0.02	1.1	1.1	1.0	1.0	83.12406323694964	47.49430483234583
1116.9631934134773	3.3388796331803965e-08	19.9063331712746	6.001709283073822e-10	19.906333171260528	6.004303968927035e-10	0.35741148272618334	1.0786226192091536e-11	0.0	0.009505569601113022	0.7069636361571671	75.97643054032632	76.82115228390927	-152.79758282423558	2.617678415247251	-75.97643054032632	0.02	1.2	1.2	1.0	1.0	83.12406323694964	47.49430483234583
818.0448758483985	1.3489699710348899e-08	14.182653521919415	2.3637438566066944e-10	14.182653521903262	2.3684565245296655e-10	0.24846896684418432	4.149613904231119e-12	0.0	0.009991176644554033	0.7239800330068147	92.26046911215519	93.25607154184436	-185.51654065399956	3.013607279450812	-92.26046911215519	0.02	1.3	1.3	1.0	1.0	83.12406323694964	47.49430483234583
607.3624521623835	7.446315105047018e-10	10.225863238490694	1.2802607652995116e-11	10.225863238473789	1.2109534668823233e-11	0.1746843608619775	2.0793876484790472e-13	0.0	0.010527486298958562	0.7422805820153541	110.94346417175439	112.11247528029935	-223.05593945205374	3.4501158964929255	-110.94346417175439	0.02	1.4	1.4	1.0	1.0	83.12406323694964	47.49430483234583
458.1349072572682	6.464883708717176e-09	7.478352899366652	1.0794117737738062e-10	7.478352899350904	1.0731715376611996e-10	0.12452519253477375	1.7906680865003678e-12	0.0	0.011114332879967083	0.7616871119730945	132.30665405021972	133.6707204590407	-265.97737450926036	3.9266624811122575	-132.30665405021972	0.02	1.5	1.5	1.0	1.0	83.12406323694964	47.49430483234583
351.9558014013435	1.3332249050048393e-07	5.561621965621358	2.1769762207329327e-09	5.561621965683367	2.143769517991968e-09	0.09027435736553895	3.507855990024868e-11	0.0	0.011750828241242446	0.7819759837709028	156.662612894233	158.24188617668008	-314.904499070913	4.441988787367844	-156.662612894233	0.02	1.6	1.6	1.0	1.0	83.12406323694964	47.49430483234583
276.0379471913759	4.4971484849856e-09	4.216822904025214	7.16829498762027e-11	4.21682290404629	7.052311173522202e-11	0.06674492705527121	1.1255247008492896e-12	0.0	0.012435511735119146	0.802888448780443	184.36115124507813	186.1739323319836	-370.53508357706176	4.994228124884056	-184.36115124507813	0.02	1.7	1.7	1.0	1.0	83.12406323694964	47.49430483234583
221.4453014048603	2.682293580254019e-09	3.2663766141276698	4.190413913767574e-11	3.266376614210694	4.1312322410812595e-11	0.05044800803855234	6.436574460824645e-13	0.0	0.013166559363078824	0.8241455950231279	215.79706215719474	217.8597428427429	-433.65680499993755	5.5810671931148255	-215.79706215719474	0.02	1.8	1.8	1.0	1.0	83.12406323694964	47.49430483234583
181.9166814600316	3.1508356736426393e-10	2.5883899625233924	4.703530412883573e-12	2.5883899627319913	5.00964958373278e-12	0.039039557327256696	7.40483400501349e-14	0.0	0.013942001729466193	0.8454662566816079	251.41863084148696	253.74590248406912	-505.164533325556	6.199920277532824	-251.41863084148696	0.02	1.9	1.9	1.0	1.0	83.12406323694964	47.49430483234583
153.06147165029438	2.385592290984201e-09	2.09923835832818	3.525122638265679e-11	2.0992383587750107	3.53167447161392e-11	0.0309471150776607	5.217796508366807e-13	0.0	0.014759906560000627	0.8665853198848618	291.73537754485324	294.34061882218913	-586.0759963670423	6.848078090007862	-291.73537754485324	0.02	2.0	2.0	1.0	1.0	83.12406323694964	47.49430483234583
131.79974751795385	7.542791343286611e-09	1.7415725246683846	1.0892626482239484e-10	1.7415725255309655	1.0638585969897575e-10	0.025116602841677854	1.5350461585561957e-12	0.0	0.015618500856006494	0.8872692796909657	337.3234745487496	340.21919785356147	-677.5426724023112	7.522808784447798	-337.3234745487496	0.02	2.1	2.1	1.0	1.0	83.12406323694964	47.49430483234583
115.96904243009067	5.161011447851402e-10	1.4760342413958791	7.420541426296052e-12	1.476034242929943	7.500626436092013e-12	0.02084083801488815	1.0771691479292881e-13	0.0	0.016516229753971302	0.9073263543982915	388.82761946534504	392.0258519513096	-780.8534714166545	8.221406914276914	-388.82761946534504	0.02	2.2	2.2	1.0	1.0	83.12406323694964	47.49430483234583
104.04766735164029	1.5637294732738852e-09	1.2755479075826779	2.1288085328947594e-11	1.2755479101219376	2.1780611502670348e-11	0.017644025446743237	2.968287700603555e-13	0.0	0.01745176547713416	0.9266100305099714	446.9586892081202	450.47118246674563	-897.4298716748658	8.941200128618227	-446.9586892081202	0.02	2.3	2.3	1.0	1.0	83.12406323694964	47.49430483234583
94.96059010693152	3.293976701785554e-08	1.1214076695236828	4.4567134843988715e-10	1.1214076734636016	4.4969317426604285e-10	0.015204473644318513	6.078317212403635e-12	0.0	0.018423987203402006	0.945016841277811	512.4870637917247	516.325255419652	-1028.8123192113767	9.67953024435624	-512.4870637917247	0.02	2.4	2.4	1.0	1.0	83.12406323694964	47.49430483234583
87.94390242721519	1.0578340680625006e-09	1.0006107799166688	1.4169299929363221e-11	1.0006107857091235	1.4121508649211403e-11	0.013303193567548796	1.8917740835674905e-13	0.0	0.019431952417885794	0.9624805097957421	586.2319762343237	590.4066592275933	-1176.6386354619171	10.433725806661547	-586.2319762343237	0.02	2.5	2.5	1.0	1.0	83.12406323694964	47.49430483234583
82.45064676778512	4.1728472185888904e-10	0.9040486642211001	5.41347034425105e-12	0.9040486723679086	5.377373793118734e-12	0.011789848341836925	6.977951042703004e-14	0.0	0.02047487553716835	0.9789648844445458	669.0475606359219	673.5682491167001	-1342.6158097526222	11.201079985613706	-669.0475606359219	0.02	2.6	2.6	1.0	1.0	83.12406323694964	47.49430483234583
78.08559793357698	1.4626224925217562e-09	0.8252829015828437	1.8232596058598283e-11	0.8252829126834771	1.8218393817882084e-11	0.010560230327117186	2.263718369523808e-13	0.0	0.021552123356912926	0.9944575832449987	761.8064249240684	766.6804369892342	-1528.4868619133026	11.978843174709954	-761.8064249240684	0.02	2.7	2.7	1.0	1.0	83.12406323694964	47.49430483234583
