SigmaE11	SigmaE12	SigmaE21	SigmaE22	SigmaAlpha11	SigmaAlpha12	SigmaAlpha21	SigmaAlpha22	SigmaAlphaBar11	SigmaAlphaBar12	SigmaAlphaBar21	SigmaAlphaBar22	SigmaKappa11	SigmaKappa12	SigmaKappa21	SigmaKappa22	SigmaQ011	SigmaQ012	SigmaQ021	SigmaQ022	Mu	Ttt	Txx	Tyy	Txy	rho	T	S	Omega	EInternal	A0	B	P	muTB	c1
787.2103577501045	-2.033456780736742e-08	5.491642696142662e-10	787.2103601005693	30.693130198704964	-7.790327570641986e-10	1.2932273690209773e-11	30.693130290473015	30.6931316623493	-7.940016874312346e-10	2.1441683313960526e-11	30.693131754115335	1.1982411163241296	-3.0417342315860404e-11	5.061856459652044e-13	1.1982411199070093	1.0010769264885084	1.034930256404675e-12	7.967540343851873e-13	1.0010769265562658	1.0	-0.2195908708511778	0.10979543303426258	0.10979543781691525	0	0.31280556321655495	0.009999999999999997	1.2198644448921716	-0.10541333681429887	0.2195908708511778	0.1	0.0	0.3	3.221879386647624	0.0
748.2992283127497	-1.8564691117717302e-08	-1.0661267424438847e-09	748.299229810629	62.70488282643952	-1.5416539434005493e-09	-1.0405498071266231e-10	62.7048829521258	62.7048863519846	-1.5572147850492654e-09	-8.950150505034463e-11	62.7048864776664	5.261494314491649	-1.2931663491899524e-10	-8.727641356632383e-12	5.261494325037856	1.0015375185536186	-3.4847044606119037e-13	1.0208318794883948e-12	1.0015375185979565	1.0	-0.24587335727486082	0.12293667654375902	0.1229366807311018	0	0.33603946490992614	0.019999999999999993	1.40804281861181	-0.11832696400730153	0.24587335727486082	0.1	0.0	0.3	2.997725422294234	0.0
726.6628361684794	-6.127717711024161e-08	1.7528094531371607e-09	726.6628378776492	98.08272586402582	-8.346584744755183e-09	2.2114915728490582e-10	98.08272609500779	98.08273214175901	-8.285751798054935e-09	2.3692697892143513e-10	98.08273237274945	13.25718946362992	-1.1285578715918108e-09	2.990306213063961e-11	13.257189494847202	1.0021103376266183	2.3901759922317683e-12	5.617558300648954e-13	1.0021103376589053	1.0	-0.2761759325882324	0.13808796442789234	0.13808796816034008	0	0.36073675325889654	0.02999999999999999	1.6229339089535817	-0.13324883793927156	0.2761759325882324	0.1	0.0	0.3	2.7912242752478287	0.0
705.7590312415972	-4.894592535720221e-07	1.9189954514331475e-08	705.7590323617419	136.25250321707273	-9.547229290592327e-08	3.3280547757645227e-09	136.25250343400108	136.2525128692395	-9.469006219741295e-08	3.71560747239593e-09	136.25251308571802	26.34208135037778	-1.8469708417772428e-08	6.443798782240524e-10	26.3420813923006	1.0028010440142907	3.047190904962472e-12	-3.1344725726247904e-12	1.0028010439966693	1.0	-0.31105608429702647	0.1555280404610968	0.15552804383592972	0	0.386843600293607	0.039999999999999994	1.8667636499722058	-0.15045806199546874	0.31105608429702647	0.1	0.0	0.30000000000000004	2.601717865394446	0.0
680.5257123327497	-2.3767405821217835e-08	1.6276175074381172e-08	680.5257134483526	175.93465010697358	-6.187063755608727e-09	4.259562082836906e-09	175.93465039569156	175.93466355453185	-6.155863499459112e-09	4.215970090328516e-09	175.93466384332683	45.5511351430948	-1.6024469851476148e-09	1.1033418130690293e-09	45.55113521783549	1.003602139038776	3.9954510249270135e-13	7.821694135554366e-14	1.0036021390473024	1.0	-0.35111432902779194	0.17555716297487606	0.17555716605291583	0	0.41428940455334945	0.049999999999999996	2.141596443651009	-0.17025489770810798	0.35111432902779194	0.1	0.0	0.3	2.4283509581069276	0.0
650.0762782182935	5.609361153346981e-08	-2.594774173303449e-09	650.0762790018434	215.71232573733022	1.8637727644391177e-08	-8.603230052982965e-10	215.71232599769996	215.71234312458463	1.8638363028796944e-08	-8.622651531986828e-10	215.71234338495282	71.6897771000558	6.192878704102315e-09	-2.8588109586200364e-10	71.68977718657534	1.0044982808312852	6.803398491912292e-13	1.0293050408185211e-13	1.004498280835719	1.0	-0.3969906145575285	0.1984953058683772	0.19849530868915125	0	0.44299129845368673	0.059999999999999984	2.4493056724315734	-0.19295902424205263	0.3969906145575285	0.1	0.0	0.3	2.2701245741966263	0.0
615.648736589187	2.306122937056898e-08	7.925464728941733e-10	615.6487370211576	254.47528402374334	9.532498924456335e-09	3.2661329457682853e-10	254.47528420255878	254.47530521748908	9.546945738060178e-09	3.280337447287391e-10	254.47530539631447	105.35814675379497	3.9462708824861054e-09	1.351829062677514e-10	105.35814682782056	1.0054691484871228	-9.57094839391251e-14	-9.561423104880574e-15	1.0054691484889418	1.0	-0.4493602516168124	0.22468012451562555	0.2246801271011869	0	0.47285878343155985	0.07000000000000002	2.7915580699665856	-0.21890759671240845	0.4493602516168124	0.1	0.0	0.3	2.1259504410758425	0.0
579.3193662653437	2.814793687022643e-08	-4.7251397239378434e-09	579.3193665936208	291.64375691699274	1.4196179521154632e-08	-2.3833491948238385e-09	291.64375708254363	291.64378157100623	1.4194603992562007e-08	-2.3829664861439044e-09	291.6437817365529	147.0762487546991	7.158931074409213e-09	-1.201962237343618e-09	147.07624883818485	1.0064920995921511	-9.86543038993232e-16	1.4213950567684659e-15	1.0064920995928333	1.0	-0.5089296870282927	0.25446484232965894	0.25446484469863373	0	0.5037980048211848	0.08000000000000002	3.1698114772010855	-0.24845323596897895	0.5089296870282927	0.1	0.0	0.3	1.994700908962646	0.0
543.1245035428543	-5.901181054923654e-08	2.624801709316671e-09	543.1245036476635	327.1561572834144	-3.560635907255896e-08	1.5787929214672776e-09	327.15615734666756	327.15618492912836	-3.561449606712267e-08	1.584097597783551e-09	327.15618499238985	197.43186135000326	-2.1488955488651322e-08	9.528147287590807e-10	197.43186138818217	1.007544501613097	1.7572900232019267e-14	-1.337881051846159e-14	1.0075445016133244	1.0	-0.5764323683650651	0.2882161831020152	0.2882161852630499	0	0.5357153349410773	0.09	3.5853231934181977	-0.28196205398365	0.5764323683650651	0.1	0.0	0.30000000000000004	1.8752507613188503	0.0
508.6104058545264	-4.685432486439822e-08	4.44185843662126e-09	508.61040593432097	361.31618441478827	-3.332953453357536e-08	3.122461765790625e-09	361.3161844716581	361.31621454506137	-3.33511664528842e-08	3.163477139757203e-09	361.31621460188296	257.18859924428244	-2.372411018778249e-08	2.22388301278532e-09	257.1885992847794	1.0086055017106332	7.090229079839131e-14	1.1981682837758723e-13	1.008605501710747	1.0	-0.6526248761882357	0.32631243711307123	0.3263124390751645	0	0.568520116136822	0.1	4.0391655010775365	-0.3198117900563399	0.6526248761882357	0.1	0.0	0.3	1.7665093782759966	0.0
