SigmaE11	SigmaE12	SigmaE21	SigmaE22	SigmaAlpha11	SigmaAlpha12	SigmaAlpha21	SigmaAlpha22	SigmaAlphaBar11	SigmaAlphaBar12	SigmaAlphaBar21	SigmaAlphaBar22	SigmaKappa11	SigmaKappa12	SigmaKappa21	SigmaKappa22	SigmaQ011	SigmaQ012	SigmaQ021	SigmaQ022	Mu	Ttt	Txx	Tyy	Txy	rho	T	S	Omega	EInternal	A0	B	P	muTB	c1
-1.1877525575925904e+16	1.3838679714025684e+16	-1736466701772853.5	2137423184972930.0	-18010155087413.547	25421593834072.39	-5544534564191.945	6974760780086.774	-43400634606519.58	50566717610141.914	-6345072157351.065	7810172418280.219	-65809343466.27735	92890838083.66412	-20259802190.740158	25485867586.59396	1712.0	-1872.0	129.5	-140.75	1.0	-0.19455975377844834	0.09727987688965753	0.09727987688879082	0	0.29077712722224314	0.000999999999999994	1.0625034456742926	-0.0972798768894691	0.19455975377844834	0.0	0.0	0.1	3.4390600442094232	0.0
-1348700522061639.5	1229369363396263.5	-180807312147319.25	157851169629978.75	-5447819852003.657	4511809581384.363	-1002659670791.3002	828045093931.0555	-9928104176271.703	9049679236616.402	-1330965474890.0715	1161979869361.3381	-40102693028.97337	33212499598.512016	-7380815460.607801	6095436177.804436	574.5	-575.5	-12.46875	13.3125	1.0	-0.19670025210441403	0.09835012605215762	0.09835012605225636	0	0.29289431370012237	0.0019999999999999944	1.0780322286104447	-0.09835012605292923	0.19670025210441403	0.0	0.0	0.1	3.414200799486534	0.0
-1633508586829364.8	1775019947805027.5	22606229125423.777	-14205142662690.703	-17091643433641.898	18694175569472.58	842415968626.5233	-744120712740.25	-18168281404263.258	19742205318000.645	251432000756.81018	-157993065579.415	-190097432035.21588	207921185787.04556	9369556120.39874	-8276292280.805336	8.75	-12.75	-1.6328125	2.353515625	1.0	-0.19887203288408917	0.09943601644175101	0.09943601644233815	0	0.2950266904305687	0.0030000000000000096	1.0937862987535911	-0.09943601644274033	0.19887203288408917	0.0	0.0	0.1	3.389523837794453	0.0
306325169794076.25	-214429366786506.7	132651119276728.66	-71388256162633.22	13972584144211.281	-6035816874843.424	5677902015501.111	-4321936495374.514	4575765037831.101	-3203061636383.1523	1981490303991.852	-1066369723651.1865	208716972419.25955	-90160661134.13275	84814269582.30682	-64559389372.264694	0.125	-0.03125	-0.59375	0.8125	1.0	-0.20107554908981715	0.1005377745449611	0.10053777454485609	0	0.29717425142025994	0.003999999999999995	1.1097680535903587	-0.10053777454480423	0.20107554908981715	0.0	0.0	0.1	3.365029087213313	0.0
-1398049353173361.8	1662400489772243.8	-56494023383994.72	77770302063421.28	-32654383450654.895	38079696034371.35	1571249561380.4595	-1208296712064.5562	-26294369167741.895	31266258293018.883	-1062533810596.7216	1462695882731.516	-614160302315.1986	716199026200.611	29551900959.590084	-22725520911.751522	1.75	-1.75	-6.359375	8.21875	1.0	-0.20331125848579315	0.10165562924320636	0.10165562924258677	0	0.29933698828516303	0.004999999999999994	1.1259798887162737	-0.10165562924295124	0.20331125848579315	0.0	0.0	0.1	3.340716447134716	0.0
4421027580310190.0	-2550286745057034.0	-281275502292745.7	223329268156127.66	122397745737763.45	-80667077200140.17	-6457792723817.901	5178128993403.866	100506257849470.45	-57977420980215.875	-6394429269357.928	5077097711536.651	2782552058281.9956	-1833860095591.5305	-146809439400.27225	117717964508.23256	7.5	-5.5	-1.125	2.21875	1.0	-0.20557962362695698	0.1027898118135559	0.10278981181340108	0	0.3015148902571388	0.0059999999999999915	1.1424241972086178	-0.10278981181343352	0.20557962362695698	0.0	0.0	0.1	3.3165857883409826	0.0
-4898056495596084.0	4110828999634046.5	-19999592942490.473	49328022250322.03	-190997673775673.94	177119264860980.88	-4612222802050.18	5695989911174.447	-130854254092475.42	109823041635489.78	-534300047171.0782	1317825052288.9993	-5102607158121.838	4731837885012.116	-123218050876.55612	152171481038.48303	8.0	-4.0	2.8984375	-0.2578125	1.0	-0.20788111185000469	0.1039405559254077	0.10394055592459697	0	0.3037079441924087	0.007000000000000009	1.1591033690020878	-0.10394055592541865	0.20788111185000469	0.0	0.0	0.1	3.292636953106783	0.0
-1232979589398422.0	1583378065261347.0	-141652624994636.4	141303023964854.78	-32783304665629.59	43678128591590.79	-3158847640215.438	3201535948782.209	-37919108780863.83	48695278992552.29	-4356391089074.9087	4345639443555.242	-1008219200464.407	1343279096953.404	-97147339924.69856	98460178052.8673	-0.25	0.75	1.46875	0.09375	1.0	-0.21021619526818486	0.1051080976340286	0.10510809763415621	0	0.3059161345818776	0.007999999999999998	1.1760197902678884	-0.10510809763583587	0.21021619526818486	0.0	0.0	0.1	3.268869755322983	0.0
-4269113020926067.5	2797532415373626.0	-488095286969825.44	274049936101575.97	-179775543555671.75	130139582034823.08	-21642301004402.453	14359526070440.352	-148777521665240.75	97493305400281.3	-17009998745852.582	9550571771197.89	-6265132755944.803	4535331904024.232	-754228780260.7039	500425894225.70667	-4.0	6.0	0.125	2.34375	1.0	-0.21258535076538115	0.10629267538284384	0.1062926753825373	0	0.3081394435632873	0.009000000000000001	1.1931758427969796	-0.10629267538307899	0.21258535076538115	0.0	0.0	0.1	3.2452839806424563	0.0
-1328014757865301.5	919980573507192.6	-19301850344089.383	-30984356952583.508	-78300313388668.75	60985730127201.45	-638473247553.6453	-1544810608214.4197	-51796866443340.4	35882214873136.98	-752834528728.5957	-1208490033262.56	-3053965214651.58	2378640523111.3037	-24902519595.74824	-60252605085.92374	0.5	0.0	-0.46484375	1.37890625	1.0	-0.21498905997925052	0.10749452998962065	0.10749452998962988	0	0.3103778509351711	0.009999999999999997	1.2105739033880794	-0.10749452998980139	0.21498905997925052	0.0	0.0	0.1	3.221879386647624	0.0
