SigmaEL	SigmaET	SigmaAlphaL	SigmaAlphaT	SigmaAlphaBarL	SigmaAlphaBarT	SigmaKappaL	SigmaKappaT	basis_angle	rhoH	S	Ttt	Txx	Tyy	rho	EInternal	T	Ax	Ay	Gx	Gy	mu
281733.21864521113	0.00011551418370081479	1029.4565788348327	4.2209179466498274e-07	1029.4565788299856	4.2016552252100186e-07	3.761660106938535	1.5352955992939568e-09	0	0.29080557456411016	1.062606815143848	-0.19461479570213505	0.0973082696592652	0.09730826966869542	0.2908056133847286	0.19461479570213505	0.000999999999999994	0.01	0.01	0.1	0.1	3.4390600442094232
280719.0412951738	0.0006866754084169063	1232.6883301904313	3.0153269563619064e-06	1232.688330186963	3.0216294782235464e-06	5.412977777978577	1.3268570253117864e-08	0	0.2912278049942535	1.0656947122117877	-0.1950404567211404	0.09752110026845216	0.09752110022526392	0.2912278358859599	0.1950404567211404	0.0011999999999999962	0.01	0.01	0.1	0.1	3.434073610135725
280607.5978047035	0.00018995710303302692	1439.6528508034082	9.7457520562479e-07	1439.6528508028075	9.738311047114457e-07	7.386142546457824	4.996241509158098e-09	0	0.2916506391363562	1.0687915259983287	-0.19546735422812025	0.09773454911358358	0.09773454911548624	0.2916506660191964	0.19546735422812025	0.0014000000000000089	0.01	0.01	0.1	0.1	3.429094468948998
280675.69605753745	0.0001136981685120213	1648.1064138338425	6.67629402661191e-07	1648.1064138358	6.681385394060687e-07	9.677590425955296	3.92327286243976e-09	0	0.29207407987812084	1.071897288677249	-0.19589549224804897	0.09794861812155774	0.0979486181434112	0.29207410384103993	0.19589549224804897	0.0016000000000000105	0.01	0.01	0.1	0.1	3.424122620349848
280805.60669547244	1.5744817300187994e-05	1857.6712696356872	1.0416033726427028e-07	1857.671269633566	1.0343521684280632e-07	12.289479815538366	6.842787940057848e-10	0	0.2924981277130532	1.0750120218656836	-0.1963248745885287	0.0981633093611043	0.09816330936843637	0.2924981493353063	0.1963248745885287	0.0018000000000000032	0.01	0.01	0.1	0.1	3.4191580639928443
280960.6500725853	0.0057351392678879455	2068.2174230685087	4.22178435604459e-05	2068.2174238976404	4.174836917631853e-05	15.224689060450746	3.0732053046600597e-07	0	0.2929227828041727	1.0781357456776173	-0.1967555044100895	0.0983786243500944	0.09837862434005078	0.2929228024730007	0.1967555044100895	0.0019999999999999944	0.01	0.01	0.1	0.1	3.4142007994865335
281768.2833381073	3.379411219578253e-05	3133.894671601297	3.7586747746195604e-07	3133.894671600221	3.73954166642386e-07	34.85605460149473	4.159221776012808e-09	0	0.2950551682446557	1.0938899074013648	-0.19892749506541466	0.09946462012215708	0.0994646201556325	0.29505518143197035	0.19892749506541466	0.003000000000000009	0.01	0.01	0.1	0.1	3.389523837794453
282389.27056991763	0.0006169015593754191	4218.218374137439	9.21506888299583e-06	4218.218374127607	9.201869667974257e-06	63.01028798590868	1.3745445587757028e-07	0	0.2972027349167075	1.1098717430512652	-0.2011312214268152	0.10056648353668424	0.1005664835228052	0.2972027444455105	0.2011312214268152	0.003999999999999995	0.01	0.01	0.1	0.1	3.365029087213313
282728.474331046	0.00010503668036153052	5317.525855961561	1.9755214734291995e-06	5317.525855954714	1.968785638708574e-06	100.01179155585713	3.7028764291498796e-08	0	0.2993654759322877	1.1260836540803296	-0.2033671409646111	0.10168444357666526	0.10168444360120207	0.2993654831367857	0.2033671409646111	0.004999999999999994	0.01	0.01	0.1	0.1	3.3407164471347164
282753.8500685996	0.00032841249369264486	6428.034337227247	7.466050324318026e-06	6428.0343372378065	7.4565418941462345e-06	146.1333649955618	1.6951521684179747e-07	0	0.3015433811261529	1.142528035738637	-0.2056357161548228	0.10281873138377803	0.10281873142055334	0.3015433867422344	0.2056357161548228	0.005999999999999992	0.01	0.01	0.1	0.1	3.3165857883409826
