IntegralExpB0	IntegralExpB0AtOverQtt	IntegralExpB0Test	ax	ay	Gx	Gy	mu	T	SigmaEL	SigmaET	SigmaAlphaL	SigmaAlphaT	SigmaAlphaBarL	SigmaAlphaBarT	SigmaKappaL	SigmaKappaT	basis_angle	rhoH	S	mutimesrho	murhooverst	soverrho	rhoovers	Ttt	Txx	Tyy	rho	EInternal	Ax	Ay
1.000000002492326	1.4988729322831578	0.9999965881984577	0.01	0.01	0.1	0.1	2.997725422294234	0.019999999999999993	250800.00093347506	2.501470640978638e-06	21026.889962405716	2.0971718019816237e-07	21026.889962410143	2.3408135586406877e-07	1762.8862155043032	1.9624979064305496e-08	0	0.3336147554361447	1.3984879572790043	0.3336773818454766	11.927514777680981	4.192110044462887	0.23854467923660716	-0.24109498559672554	0.12054836898298306	0.1205483689729465	0.333614755791702	0.24109498559672554	0.01	0.01
1.0000002593980462	1.499829581293984	0.9995590956980391	0.1	0.1	0.1	0.1	2.997725422294234	0.019999999999999993	2492.778502584381	1.5765144219327385e-08	208.96286314406012	1.321974840264759e-09	208.96286314416915	1.27678821503543e-09	17.52386688149585	1.0707482137627368e-10	0	0.33643513489137244	1.408870531546534	0.3426990790293937	11.922014640707348	4.206865502674926	0.23785688911345065	-0.24693891962700204	0.12355748949846525	0.1235574893850872	0.33643516864727	0.24693891962700204	0.1	0.1
1.000001150917358	1.501953998365949	0.9962878954952139	0.2	0.2	0.1	0.1	2.997725422294234	0.019999999999999993	615.5851754044616	4.649511207210225e-09	51.56306643848082	3.884614379268716e-10	51.56306644035638	3.7275980440836116e-10	4.326278366196884	3.116927936515274e-11	0	0.34496715594278315	1.4403324315631902	0.370040796589952	11.906019848069436	4.262817342280926	0.23549381009913717	-0.2646358173487856	0.13267324817501117	0.1326732478120414	0.34496726828798635	0.2646358173487856	0.2	0.2
1.0000029198788247	1.5021460249775083	0.9774285143141133	0.3	0.3	0.1	0.1	2.997725422294234	0.019999999999999993	273.1875180074752	4.228919621069778e-10	22.83096208806807	3.5241535990971357e-11	22.830962092391765	4.6744176622394124e-11	1.9154836770812733	3.894697973020087e-12	0	0.3591245686738385	1.4927352555681317	0.4156256072878565	11.886536890301931	4.424533740795775	0.23050220920966386	-0.29409140624054797	0.14785731625103132	0.14785731537069785	0.35912475767959795	0.29409140624054797	0.3	0.3
1.0000056385628098	1.493459193472621	0.9233445623723171	0.4	0.4	0.1	0.1	2.997725422294234	0.019999999999999993	157.96207938603436	1.4540918904076758e-09	13.14088524798307	1.2202444218945287e-10	13.140885253262525	1.2011902135070177e-10	1.1009291191154056	1.0074084331762113e-11	0	0.37876053278525085	1.5658740475773416	0.4795014689555536	11.89660541889726	6.069521929655671	0.2210851528775661	-0.3352564524367572	0.16910136316993749	0.16910136088180208	0.37876097936625036	0.3352564524367572	0.4	0.4
1.0000090697715212	1.465923938983341	0.8581827947745705	0.5	0.5	0.1	0.1	2.997725422294234	0.019999999999999993	107.23491369460595	4.4277093377191414e-12	8.860100286729011	6.751169318098381e-13	8.860100286265313	3.3606700825510807e-12	0.7401366968769867	2.750455830193933e-13	0	0.40357700630498083	1.6591078840368931	0.5618153655114484	12.028008113815464	1.8254173374499558	0.20509699309078455	-0.3881064327394013	0.19641622842794326	0.1964162180031722	0.40357799606607286	0.3881064327394013	0.5	0.5
1.0000133444236914	1.4110647776992085	0.8051355708605303	0.6	0.6	0.1	0.1	2.997725422294234	0.019999999999999993	80.15633123441685	1.1167229292177693e-10	6.568206849491286	9.47725589134418e-12	6.5682068311190225	5.111797274713899e-12	0.546706232327517	4.33442261158193e-13	0	0.43312025255143405	1.7712454268766207	0.6629205662013387	12.436628393099348	3.3193142533777964	0.18135345966674182	-0.45272031461364354	0.22987134975308296	0.22987130816637658	0.4331144947310563	0.45272031461364354	0.6	0.6
1.0000182010203027	1.3227472290578666	0.7671275172224314	0.7	0.7	0.1	0.1	2.997725422294234	0.019999999999999993	63.047763772271786	2.920441523729321e-11	5.120105894234287	2.398070650497436e-12	5.120105844363051	2.6513708891281273e-12	0.424785210123946	2.2532413569052268e-13	0	0.46685348027841483	1.9011250386759866	0.7834687643884642	13.283510255133159	-4.027980944415672	0.15106852400731013	-0.5293665750291836	0.26963736952929557	0.26963729621085725	0.4668104550330992	0.5293665750291836	0.7	0.7
1.000023217765867	1.1860974714092087	0.7766543240405459	0.8	0.8	0.1	0.1	2.997725422294234	0.019999999999999993	50.60416077821569	4.719206600260984e-11	4.067627517717536	3.9593735125371956e-12	4.067627401626782	2.487270750474145e-12	0.33666116610291186	2.0776924550184406e-13	0	0.5040348434194244	2.0504069688550954	0.9244906419264102	14.476678073288115	1.918982939429008	0.12511824421397366	-0.6186289185708329	0.31604890105508715	0.316048856308874	0.5039742808897925	0.6186289185708329	0.8	0.8
1.0001166115325872	0.9435353576104246	0.7798919493277071	1.0	1.0	0.1	0.1	2.997725422294234	0.019999999999999993	36.2084116119658	1.0476361397049465e-10	2.839495870545666	9.216436620318281e-12	2.8394954635124257	4.3322306093328215e-12	0.23349685177757826	3.392608746588281e-13	0	0.5839178638373093	2.426041513741399	1.275215065001282	16.16891309521916	4.417744765020914	0.11860974653853494	-0.839813290921845	0.43142815854539945	0.43142808320209053	0.5839147254536443	0.839813290921845	1.0	1.0
