SigmaE11	SigmaE12	SigmaE21	SigmaE22	SigmaAlpha11	SigmaAlpha12	SigmaAlpha21	SigmaAlpha22	SigmaAlphaBar11	SigmaAlphaBar12	SigmaAlphaBar21	SigmaAlphaBar22	SigmaKappa11	SigmaKappa12	SigmaKappa21	SigmaKappa22	rhoH	S	Ttt	Txx	Tyy	FreeEnergy	InternalEnergy	rho	T	Ax	Ay	Gx	Gy	mu	Q
69474232654062.375	-91836076698548.11	-23648841544135.434	35701812737038.91	112893892.6340769	3476253652.6473513	3165155166.6133738	-7025518647.436694	3656977025.936808	-4834057316.063848	-1244825123.119596	1879268096.617018	5942.496317610422	182982.65786431037	166607.08993328243	-369808.47873376886	1.7545963379714943e-05	0.03039129987678284	-0.38493057035971173	0.19246528517985545	0.19246528517985545	-0.192465285179855	0.38493057035971173	0.5773654642396899	0.001	0.0	0.0	0.1	0.1	32905.88562992246	18997.721932938333
-43091100046468.42	-662017646110582.8	-132108177740677.56	-246578717251507.56	-6424220401.424754	-144124860753.20938	-31372315468.62403	-18197291060.61834	-9072898360.895136	-139388848504.55447	-27815582985.580765	-51917533717.34624	-1352629.630875614	-30345714.346581563	-6605489.980187717	-3831468.0307117198	7.018385351885973e-05	0.06078739851324147	-0.3850217478584589	0.19251087392922636	0.1925108739292265	-0.1925108739292275	0.3850217478584589	0.5774110469906599	0.002	0.0	0.0	0.1	0.1	8227.120883801535	4749.430483234583
1.425956266895886e+16	-2.3453075162939384e+16	-1.1058317611550112e+16	1.814995856621507e+16	6752114282664.0	-11111047425840.78	-5236320742551.511	8598657014546.012	6755339638807.498	-11110683544666.127	-5238778568044.317	8598379725345.141	3198753448.3600655	-5263758843.589599	-2480659883.817479	4073536469.482293	0.00015791367041743438	0.09119309340645103	-0.3851737263513159	0.19258686317565143	0.1925868631756448	-0.19258686317566853	0.3851737263513159	0.5774870102467653	0.003	0.0	0.0	0.1	0.1	3656.979213517336	2110.8579925487034
5946783999830312.0	-1708697804384126.2	6721565311953310.0	-1467976159733612.8	4624527575232.456	-2578290985479.5522	5122252266794.227	-2835199973968.3687	5008418605828.639	-1439075956930.6511	5660944263258.875	-1236338685167.0486	3894805991.2083087	-2171452762.246607	4313992833.3517685	-2387823116.035918	0.0002807354140754407	0.12161317952967991	-0.3853865298263899	0.1926932649131315	0.19269326491312821	-0.1926932649130974	0.3853865298263899	0.5775933420213686	0.004	0.0	0.0	0.1	0.1	2057.4295691322045	1187.3576208086458
-205633692429701.88	558929956249766.8	145772201249510.78	-600956505914587.5	-160441589767.6427	589848708314.2695	44606625504.71571	-611631008139.6572	-270603092775.5286	735522340813.7175	191828527867.8205	-790827063418.3792	-211132669.3984452	776209787.6739899	58699966.3198803	-804874145.3036659	0.0004386490844928759	0.15205244807396953	-0.3856601918578425	0.19283009592891864	0.19283009592886424	-0.19283009592891553	0.3856601918578425	0.5777300255463882	0.005	0.0	0.0	0.1	0.1	1317.0665253167488	759.9088773175333
773340862663648.6	623513914594848.5	2665349375424892.0	-1037913350422199.0	1340555101044.0598	974051626000.0736	2244630172569.5825	-2456106599222.41	1465453129283.8818	1181536449720.0725	5050741233817.482	-1966808480884.9587	2540303716.832002	1845792809.252726	4253493471.3618317	-4654233696.235854	0.00063165468166974	0.18251568519388667	-0.385994755597592	0.19299737779845638	0.19299737779841492	-0.19299737779911802	0.385994755597592	0.5778970392855466	0.006	0.0	0.0	0.09999999999999999	0.09999999999999999	914.8939381845995	527.7144981371758
-887394493835841.2	1487842195070240.5	1178292839241870.0	-1782001345578631.5	-1999109678442.0002	3451052830522.2007	2691333238499.525	-4144883314234.4214	-2288818119953.7544	3837526826415.61	3039119602163.794	-4596238761762.139	-5156216865.865845	8901150848.112143	6941639063.461982	-10690717714.177217	0.0008597522056060336	0.2130076707588215	-0.38639027376353874	0.19319513688213685	0.19319513688239148	-0.19319513688307366	0.38639027376353874	0.5780943569513006	0.007	0.0	0.0	0.09999999999999999	0.09999999999999999	672.3964802670387	387.7086108762925
3285506275528049.5	-2511542528711939.0	-1140687568348760.0	523939676537720.9	11174531022246.887	-11414577714089.666	-3974549168163.9595	3325479382075.494	11068295576492.656	-8460947181191.35	-3842776761972.7295	1765061064520.2163	37645039123.547966	-38453714412.73079	-13389560477.850996	11202957975.914566	0.0011229416563017657	0.2435331771111935	-0.3868468086297127	0.1934234043165085	0.1934234043154884	-0.19342340431264377	0.3868468086297127	0.578321947525467	0.008	0.0	0.0	0.1	0.1	515.006228756435	296.83940520216146
-3206208122670290.5	-346365171823213.9	1937896000515740.0	486865838015118.1	-18306097613379.926	-10069473233268.055	11341203879954.871	8573735136275.45	-13670210504871.164	-1476786480858.848	8262547298874.336	2075834830009.0334	-78051142759.00572	-42932901890.75357	48355140554.17074	36555569583.01295	0.0014212230337569216	0.27409696783291243	-0.3873644320027875	0.1936822159983693	0.1936822159980645	-0.19368221599120977	0.3873644320027875	0.578579775283501	0.009000000000000001	0.0	0.0	0.1	0.1	407.0999143280604	234.53977694985596
-771104578850726.2	-672962670973654.5	-384028982065195.56	1065524404311318.4	-4565656242270.4795	-4407636957679.999	-1570159935880.4526	6439001350401.619	-4058931810733.171	-3542333514245.3105	-2021447536819.2375	5608695653471.044	-24032651169.370438	-23200870995.15707	-8264990620.574815	33893544568.821102	0.001754596337971505	0.3047037965214153	-0.387943225192927	0.19397161259641277	0.19397161259257484	-0.19397161259475565	0.387943225192927	0.5788677998224685	0.01	0.0	0.0	0.1	0.1	329.91508490877163	189.97721932938333
-3032491779247461.0	2495047371422488.0	2636149006942657.5	-2133510130010124.0	-16636197327705.793	17653263446220.934	15428373450554.332	-18575164488586.137	-19314500263988.633	15891417560895.303	16790119939959.828	-13588720091939.988	-105959013599.5282	112436895567.41612	98266160232.62372	-118308653587.66388	0.0021230615689455147	0.33535840557660124	-0.38858327902096823	0.19429163952198325	0.19429163952619496	-0.19429163953292078	0.38858327902096823	0.5791859760925466	0.011	0.0	0.0	0.09999999999999999	0.09999999999999999	272.80696168422435	157.0059663879201
-9371684921452176.0	6455310137021298.0	9456746015629642.0	-6637313015559826.0	-70559198838074.34	47658367673117.164	72237392628282.86	-48711430622310.31	-71036023869220.53	48930322436150.61	71680774729602.44	-50309878079825.5	-534828579371.17413	361243572737.5101	547549046943.1866	-369225638440.92017	0.0025266187266789696	0.3660655249999089	-0.3892846938130291	0.19464234694121174	0.19464234693557222	-0.19464234691894305	0.3892846938130291	0.5795342544319735	0.012	0.0	0.0	0.1	0.1	229.37147117314964	131.92862453429396
-3635708546538499.0	6178222666754244.0	6088361394419672.0	-7159677700814638.0	-29632141093638.457	62631800017337.75	51838601385563.41	-67752527077549.51	-32342548571555.773	54960254411930.14	54160866196956.12	-63691085473764.83	-263601702483.1792	557160181641.4329	461146008194.2885	-602713163005.7559	0.002965267811171853	0.396829871206825	-0.3900475792998631	0.195023789664572	0.19502378966449221	-0.19502378963130929	0.3900475792998631	0.5799125806054835	0.012999999999999998	0.0	0.0	0.1	0.1	195.56836600749511	112.41255581620315
-1.071634776813746e+16	6393784573243636.0	-3146456146898414.0	-7507045660708097.0	-108855915276243.39	62374495662285.414	-16477544734203.184	-69943070278076.95	-110560843556359.1	65964844668186.195	-32462071345659.734	-77450388772540.48	-1123069359024.0566	643519322630.5039	-169999265138.42282	-721604507261.1438	0.0034390088224241448	0.4276561458540209	-0.3908720545346567	0.19543602731493714	0.19543602730488163	-0.19543602735351434	0.3908720545346567	0.5803208958462146	0.014	0.0	0.0	0.09999999999999999	0.09999999999999999	168.7465562932672	96.92715271907312
-1.993217297209904e+16	6195328597586437.0	-9648295922614972.0	948938708573205.9	-328861520913093.4	76678378585799.88	-140961630151470.5	13905795179220.34	-236067194506429.1	73374530871516.05	-114269836681017.05	11238779585397.111	-3894879736983.1255	908142315310.5107	-1669482630393.1216	164693636761.76712	0.003947841760435883	0.45854903468231073	-0.3917582482121119	0.19587912411355796	0.19587912412599062	-0.19587912420892523	0.3917582482121119	0.5807591369008026	0.015000000000000001	0.0	0.0	0.09999999999999999	0.09999999999999999	147.10800790473036	84.43431970194814
-5685527296494254.0	5812685539555782.0	6669603872313480.0	-7413795893615940.0	-73015964415668.27	68321394700399.1	78216324885129.8	-79135558917892.55	-76614185271281.88	78327680728192.84	89874912231019.03	-99903122883113.36	-983912016208.7114	920651281508.4574	1053988432996.0256	-1066375387243.3782	0.004491766625207066	0.4895132063765729	-0.39270629819009706	0.19635314916639066	0.19635314920546248	-0.19635314918964986	0.39270629819009706	0.5812272360777218	0.016	0.0	0.0	0.1	0.1	129.39836028345397	74.20985130054036
-5870327460665596.0	4228743368219454.5	6913577029381398.0	-5057152149992258.0	-86661023313526.17	66360661731098.64	103852363933440.39	-78292797039936.64	-89301477415079.08	64329125235612.88	105171755252766.67	-76931169774292.53	-1318317839687.0925	1009501629089.2714	1579838534467.929	-1191017450640.238	0.0050707834167376484	0.520553311443763	-0.39371635183178555	0.19685817569669475	0.1968581756968515	-0.19685817576152537	0.39371635183178555	0.581725121298767	0.016999999999999998	0.0	0.0	0.09999999999999999	0.09999999999999999	114.7209560121684	65.73606205168973
