	Temperature	Sigma_A04	Sigma_A08	Sigma_A12	Sigma_A16	Sigma_A20
25	0.004999999999999994	185.9547470576358				
26	0.005999999999999992	184.9924001401677				
27	0.00700000000000001	183.904565540592				
28	0.007999999999999998	182.67724013606818				
29	0.009000000000000001	181.30441639470862				
30	0.009999999999999995	179.78523703887154				
31	0.019999999999999997	158.02884172759912				
32	0.02999999999999999	131.45825776987323				
33	0.04	107.81425204470663				
34	0.05	89.51391971567871				
35	0.05999999999999999	76.04043263721094				
49			65.00413870952039			
50			64.01905556930964			
51			63.01388988409478			
52			61.98990051320703			
53			60.95216688018682			
54			59.907595845365115			
55			50.467165177357856			
56			43.885368671491996			
57			38.91015383142637			
58			34.9407649007209			
59			31.762457007389372			
73				26.640477210512444		
74				27.08303262749398		
75				27.46346982611288		
76				27.786241844028353		
77				28.05756772406529		
78				28.283371622872448		
79				28.873886670088247		
80				27.830226352011127		
81				26.185474476328988		
82				24.438875400148774		
83				22.81185567696329		
109					16.822054084533786	
110					17.496048318691965	
111					18.049563009010324	
112					18.51343234072639	
113					18.9078199832668	
114					19.246542231054338	
115					20.90963399453989	
116					21.010629875034468	
117					20.420857089897737	
118					19.5406602504589	
119					18.58749456200204	
133						12.23082975818166
134						12.915805181948295
135						13.476976816591618
136						13.948487328472213
137						14.352046661653235
138						14.702193129208188
139						16.623753781691192
140						17.166410310771695
141						17.068000393881892
142						16.64248698945605
143						16.072800156508364
