	One_over_A	Shearlength
7	5.0	24.24759299965708
19	3.3333333333333335	16.28299017318073
31	2.5	12.470424136794172
43	1.6666666666666667	8.93056533375402
55	1.25	7.060882029628186
67	1.0	5.970195638819788
79	0.8333333333333334	5.357467770984036
91	0.7142857142857143	4.9516837348171885
103	0.6666666666666666	4.795201512733191
115	0.625	4.6599853747763
127	0.5555555555555556	4.43466911834191
139	0.5	4.248152162248
151	0.45454545454545453	4.083198918822626
163	0.4166666666666667	3.9283352576415793
175	0.4	3.8520629199756318
